Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.0472504272645019	0.0739571905009594	1	C01136,C00186,C00044,C00085,C00092,C00103,C00668,C01172,C05345,C00469	1.34258599438187	0.590289582030859	10	18
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.000401002506265664	0.00160401002506266	1	C00140,C00645,C01132,C00055,C00243,C06373,C05796,C04776,C01674,C01177,C03546,C04006,C00065	1.65404710041015	0.714771252566343	13	21
PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	0.0297079556898288	0.0509279240397065	1	CE7109,CE7110,C00051,CE7086,C06439,CE6508,CE7080,CE7083,CE7084,CE7091,CE7088,CE7112,CE7113,CE7114,CE7115	1.39094624205583	0.61494942308256	15	17
LINOLEATE METABOLISM	LINOLEATE METABOLISM	0.00220927897168106	0.00611800330619371	1	CE5528,C00051,C08261,C01601,CE2006,CE6506,CE2061,C14762,C14825,C14826,C01595,C04717,C14827,C14765,CE5526,CE5527	1.56549913682389	0.684498154733162	16	19
GALACTOSE METABOLISM	GALACTOSE METABOLISM	0.000801763880537182	0.00288634996993385	1	C05399,C00140,C00089,C00243,C05400,C05402,C05796,C00577,C00103,C00446,C01097,C00611,C00116	1.59452267476681	0.686327016567614	13	22
BILE ACID BIOSYNTHESIS	BILE ACID BIOSYNTHESIS	0.0467953204679532	0.0739571905009594	1	C05462,C05466,C00695,C02528,C04483,C15517,C03594,C05451,C06340,C13550,C15519,C15610,CE1277,CE1278,CE1279,CE4874	1.27429310119506	0.524523338143922	16	36
VITAMIN E METABOLISM	VITAMIN E METABOLISM	0.0577425185780277	0.0778267254038179	1	CE5848,CE5846,CE1928,CE5723,CE5849,CE5655,CE6219,CE7101,C00601,CE5721,CE5844	1.31581246123849	0.575325262407965	11	19
ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	0.0003999600039996	0.00160401002506266	1	C00280,C11133,C05503,C05504,C00051,CE5251,CE5252,CE5255,CE5256,C03170,C11135,C11136,C04555,C05298,C05300,CE2180,CE5249,CE5250,CE5253,CE5254,C05139,C05294,C14497,C18045,C18075,C18038,C11132,C00951,C00704,C05141,C05301,CE2179,C11131,CE1356,CE1358,C11134,C00468,C00523,C03917,C04295,C04373,C05293,CE2209,C00535,C00674,C01227,C03772	1.43531370785843	0.566326526506539	47	68
GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	0.514048595140486	0.514048595140486	1	C00109,C00051,C00256,C00143,C00077,C00062,C00719,C00101,C01419,C00065,C00576,C00114,C03508,C00988,C00546,C00248,C00188,C01026,C05519,C00300,C00430,C00258,C00033,C06055,C01888	0.994620588149973	0.40840167268827	25	37
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450	0.0042995700429957	0.00967403259674033	1	C16608,C16582,C16584,C07572,C07073,C16560,C01516,C16576,C16660,C16577,C07163,C16586,C16548,C16662,C16610,C16661,C06174,C16609	1.41728957541239	0.58195400354491	18	37
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	9.99900009999e-05	0.000723836332562582	1	C02406,C02700,C15605,CE3087,C00078,C00525,C06213,C05643,CE2119,C00051,C05648,C00328,C05647,C03227,C05651,CE3140,CE1395,C06212,C00978,C00479,C00780,CE6205,C05642,C05640,C00637,C00331,C05660,CE1918	1.79503013308271	0.720924866649906	28	51
UREA CYCLE/AMINO GROUP METABOLISM	UREA CYCLE/AMINO GROUP METABOLISM	0.0237047409481896	0.0426685337067413	1	C00122,C04692,C05198,C00143,C01602,C03406,C00555,C00179,C00062,C00148,C00101,C01449,C03711,C00750,C00437,C00242	1.34238014484962	0.55963638436861	16	31
DE NOVO FATTY ACID BIOSYNTHESIS	DE NOVO FATTY ACID BIOSYNTHESIS	0.135056020995256	0.156839250188039	1	C02679,C08281,C01530,C00219,C06425,C06424,C01595,C00154,C00510,C00249,C06428,C06426,C06427	1.23618349522659	0.550704716343445	13	16
VITAMIN A (RETINOL) METABOLISM	VITAMIN A (RETINOL) METABOLISM	0.0583700440528634	0.0778267254038179	1	C11061,CE5016,CE5653,C00777,C15493,C16677,C16679,C16680,C00376,C02110,C16681,CE5575,CE5589,CE1617,CE2952,CE5594,C02075,CE5013,CE5932,C00473,C00899,CE1754,CE5590	1.28958580620926	0.547787737617985	23	25
VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	0.0611016353968095	0.0785592455101836	1	C01188,C06001,C00164,C00349,C06002,C00183,C00704,C00233,C00671,C03465,C00141,C00042,C02170,C00248,C03284	1.30555410536867	0.567426908528282	15	20
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	0.000202429149797571	0.00121457489878542	1	C02985,C00577,C00044,C00085,C00275,C00636,C01094,C02976,C05345,CE3075	1.73811382459245	0.781477621770929	10	15
XENOBIOTICS METABOLISM	XENOBIOTICS METABOLISM	0.0011998800119988	0.0039003900390039	1	C07535,C14852,C00051,C14796,C14797,C14798,C02679,C14846,C14784,C14853,C14847,C14848,C14854,C06205,C14789,C06424	1.49269303961331	0.615695673379406	16	35
BUTANOATE METABOLISM	BUTANOATE METABOLISM	0.0561978485975671	0.0778267254038179	1	C01089,C05984,C00109,C00164,C00232,C00431,C00246,C06006	1.32759974512723	0.583700635888302	8	18
ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	0.208704453441296	0.220981185996666	1	C00051,C02045,C05411,C05412,CE5985,C00704,C00601,C01620,C00127,C00072,C00191	1.17687800899823	0.529139009524932	11	15
D4&E4-NEUROPROSTANES FORMATION	D4&E4-NEUROPROSTANES FORMATION	0.000100532823967025	0.000723836332562582	1	CE6452,CE6453,CE6454,CE6455,CE6456,CE6457,CE6458,CE6459,CE6460,CE6461,CE6462,CE6463,CE6464,CE6465,CE6466,CE6467,C00704	1.84579514715981	0.811533600447832	17	18
PURINE METABOLISM	PURINE METABOLISM	0.00640768922707249	0.0135692242455653	1	C00212,C00330,C00121,C04751,C00122,C04376,C00144,C00559,C00387,C03838,C00044,C00101,C00242,C01762,C00603	1.46414835821345	0.621938077188086	15	25
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	1e-04	0.000723836332562582	1	C00051,CE2449,CE5815,CE6246,CE6251,CE7096,CE7172,C00219,C04742,C04805,C14748,C14749,C14768,C14769,C14770,C14771,C14772,C14773,C14774,C14775,C14778,C14779,C00639,C04741,C04843,C14782,C14814,C00427,C00584,C00696,C01312,C02198,C04654,C06314,C06315,CE6250,C05951,CE2566,CE2567,CE5178,CE7097,C00116,C02165,C04849,C05356,C05965,C05966,C14781,C14813,C00909	1.66317292049743	0.664924411836659	50	55
GLYCOSPHINGOLIPID METABOLISM	GLYCOSPHINGOLIPID METABOLISM	0.0800642118992676	0.0993900561508149	1	C01132,C06124,C00055,C01747,C01120,C00154,C00065,C00588,C00249,C00836,C00517	1.27926364486282	0.556000407958695	11	20
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	0.184120945134161	0.20085921287363	1	C00122,C03406,C04281,C00555,C00179,C00062,C00148,C00763,C05933	1.16819954497996	0.498144659529239	9	24
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	0.0106989301069893	0.0213978602139786	1	C04874,C06124,C00055,C00756,C01225,C00219,C14748,C00184,C00577,C01387,C01120,C01595,C00670,C01177,C01996,C00065,C06459,C00116,C00588,C00114,C00836	1.38123361365257	0.572379979579539	21	33
PORPHYRIN METABOLISM	PORPHYRIN METABOLISM	0.00270595309681299	0.00695816510609054	1	C05769,C05770,C00486,C00500,C05791,C00931,C00023,C14818,C14819,C01079,C03263,C05768	1.53638936855107	0.661304820740833	12	22
PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	0.0571313212879782	0.0778267254038179	1	C00055,C01225,C01235,C00092,C01177,C03546,C03862,C04006,C00154,C00116,C00249	1.33911959763139	0.596561498362638	11	16
PROSTAGLANDIN FORMATION FROM ARACHIDONATE	PROSTAGLANDIN FORMATION FROM ARACHIDONATE	9.99900009999e-05	0.000723836332562582	1	C13856,C05956,C05962,CE5703,CE5704,CE7105,C00051,CE6235,CE6242,CE6243,C05963,CE1447,CE5533,CE5534,CE5926,CE5930,CE0955,CE6240,CE4980,C00219,C05953,C05954,C05955,C05957,CE5535,CE5537,CE5925,CE5928,C11304,CE6238,CE6244,C00639,C04741,C05959,CE3481,CE5708,C11695,C00427,C00584,C00696,C01312,C02198,C00704,CE6236,CE6241,CE6245	1.78382187371919	0.709195257768763	46	60
LEUKOTRIENE METABOLISM	LEUKOTRIENE METABOLISM	9.99900009999e-05	0.000723836332562582	1	CE5139,C00051,CE5531,CE2054,CE5976,CE2056,CE5945,CE2445,CE2446,CE5179,CE5343,CE5944,CE6246,CE6474,CE6185,CE4995,C00219,CE5140,CE3554,C05952,CE5525,C04853,C03577,CE4993,CE5946,C05951,CE5947,CE6189,CE4990,CE5178,CE5349,CE6229,C02165,C05356,C00909,CE4987,CE4988,CE5350,CE5352,CE4989,C02166,CE5994,CE2053,CE5138	1.58534549417276	0.640998375718096	44	46
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	0.0912456228114057	0.109494747373687	1	C00055,C00349,C00475,C00299,C00526,C00214,C00143,C00105,C00881,C00044,C00103	1.23699962234836	0.52005094687143	11	28
ASPARTATE AND ASPARAGINE METABOLISM	ASPARTATE AND ASPARAGINE METABOLISM	0.0013001300130013	0.0039003900390039	1	C03415,C04540,C00989,C00109,C00232,C00051,C03078,C00077,C02567,C01239,C01879,C02238,C04281,C04282,C00555,C00669,C03413,C00062,C00148,CE4788,C01419,C00750,C00437,C00097,C05829	1.45842665924642	0.590348637943649	25	45
AMINOSUGARS METABOLISM	AMINOSUGARS METABOLISM	0.0135257898455637	0.0256278123389629	1	C00140,C00645,C01132,C00055,C03410,C00085,C00275,C00611,C06459	1.4589425458497	0.649941164864257	9	16
TYROSINE METABOLISM	TYROSINE METABOLISM	0.176482351764824	0.198542645735426	1	CE5627,C09640,CE4890,C00164,C00051,C05587,C07453,C00122,CE5541,C05588,C09642,C01060,C05590,C04148,CE5629,C05582,C05583,C02442,C00097,C00601,C01031,C06199	1.12091822860557	0.443011551593982	22	66
C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	0.0002999700029997	0.00154270287256989	1	C00280,C00486,C05504,CE1350,C04555,CE1342,C05139,CE1343,C04518,C05138,C05485,C02373,C00951,C00762,C01780,C05470,C05471,C05474,C05489,C02140,C05477,C05488,C05497,CE1347,C00410,C05490,CE1349,C00735,C01124,C05469,C05473,C05141,C01176,C03205,C03748,C05498,CE1353,CE5888,C00468,C05472,C05500,C05502,C13550,C15519,C15610,C05480,C00523,C03917,C04373,C00535,C01227,C03772	1.45956868975145	0.574128271846087	52	72
METHIONINE AND CYSTEINE METABOLISM	METHIONINE AND CYSTEINE METABOLISM	0.00370259181426999	0.00888622035424797	1	C00212,C00109,C00051,C05844,C00491,C00542,C02291,C01817,C00101,C00440,C01962,C05529,C00065,C00097	1.49334444944364	0.629666822931564	14	27
LYSINE METABOLISM	LYSINE METABOLISM	0.268226551516369	0.275890167273979	1	C00449,C06157,C01149,C01211,C00956,C01259,C01181,C03793,C00318,C00408,C00042,C00248,C00487	1.12593418167945	0.492302966882619	13	19
