Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450	0.002564	0.04769	+1	12	53	0.226415094339623	1.813	negative
VITAMIN B9 (FOLATE) METABOLISM	VITAMIN B9 (FOLATE) METABOLISM	0.002433	0.04769	+1	8	33	0.242424242424242	1.936	negative
D4&E4-NEUROPROSTANES FORMATION	D4&E4-NEUROPROSTANES FORMATION	0.00211	0.04769	+1	3	37	0.0810810810810811	1.793	negative
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	0.001608	0.04769	-1	15	95	0.157894736842105	-2.399	negative
PROSTAGLANDIN FORMATION FROM ARACHIDONATE	PROSTAGLANDIN FORMATION FROM ARACHIDONATE	0.0016	0.04769	-1	19	78	0.243589743589744	-2.205	negative
VITAMIN B6 (PYRIDOXINE) METABOLISM	VITAMIN B6 (PYRIDOXINE) METABOLISM	0.006048	0.09375	+1	2	11	0.181818181818182	1.501	negative
BILE ACID BIOSYNTHESIS	BILE ACID BIOSYNTHESIS	0.009479	0.09451	+1	7	82	0.0853658536585366	1.765	negative
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	0.007895	0.09451	+1	15	94	0.159574468085106	1.781	negative
DE NOVO FATTY ACID BIOSYNTHESIS	DE NOVO FATTY ACID BIOSYNTHESIS	0.008292	0.09451	-1	13	106	0.122641509433962	-1.77	negative
DYNORPHIN METABOLISM	DYNORPHIN METABOLISM	0.01016	0.09451	-1	1	8	0.125	-1.325	negative
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	0.01766	0.1493	-1	17	156	0.108974358974359	-1.722	negative
PHYTANIC ACID PEROXISOMAL OXIDATION	PHYTANIC ACID PEROXISOMAL OXIDATION	0.02321	0.1799	+1	3	34	0.0882352941176471	1.518	negative
FATTY ACID ACTIVATION	FATTY ACID ACTIVATION	0.03146	0.225	-1	11	74	0.148648648648649	-1.621	negative
ELECTRON TRANSPORT CHAIN	ELECTRON TRANSPORT CHAIN	0.03725	0.231	+1	1	7	0.142857142857143	1.31	negative
ROS DETOXIFICATION	ROS DETOXIFICATION	0.03725	0.231	+1	1	2	0.5	1.31	negative
OMEGA-6 FATTY ACID METABOLISM	OMEGA-6 FATTY ACID METABOLISM	0.04268	0.2481	-1	1	55	0.0181818181818182	-1.298	negative
ALANINE AND ASPARTATE METABOLISM	ALANINE AND ASPARTATE METABOLISM	0.04719	0.2581	-1	5	30	0.166666666666667	-1.498	negative
ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	0.05968	0.2922	-1	16	95	0.168421052631579	-1.469	negative
PORPHYRIN METABOLISM	PORPHYRIN METABOLISM	0.0597	0.2922	-1	13	43	0.302325581395349	-1.504	negative
TCA CYCLE	TCA CYCLE	0.06534	0.3038	-1	5	31	0.161290322580645	-1.46	negative
LIMONENE AND PINENE DEGRADATION	LIMONENE AND PINENE DEGRADATION	0.08627	0.382	-1	6	10	0.6	-1.446	negative
FATTY ACID METABOLISM	FATTY ACID METABOLISM	0.09122	0.3856	-1	7	63	0.111111111111111	-1.421	negative
C5-BRANCHED DIBASIC ACID METABOLISM	C5-BRANCHED DIBASIC ACID METABOLISM	0.1243	0.4365	-1	2	10	0.2	-1.286	negative
HISTIDINE METABOLISM	HISTIDINE METABOLISM	0.1267	0.4365	+1	6	33	0.181818181818182	1.361	negative
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	0.1125	0.4365	-1	4	33	0.121212121212121	-1.367	negative
ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	0.1198	0.4365	+1	10	29	0.344827586206897	1.366	negative
C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	0.1247	0.4365	+1	19	112	0.169642857142857	1.308	negative
VITAMIN B2 (RIBOFLAVIN) METABOLISM	VITAMIN B2 (RIBOFLAVIN) METABOLISM	0.1431	0.4754	+1	1	8	0.125	1.251	negative
DI-UNSATURATED FATTY ACID BETA-OXIDATION	DI-UNSATURATED FATTY ACID BETA-OXIDATION	0.1646	0.4939	-1	1	26	0.0384615384615385	-1.233	negative
LINOLEATE METABOLISM	LINOLEATE METABOLISM	0.1557	0.4939	-1	17	46	0.369565217391304	-1.288	negative
VITAMIN A (RETINOL) METABOLISM	VITAMIN A (RETINOL) METABOLISM	0.1601	0.4939	-1	7	67	0.104477611940299	-1.287	negative
ASPARTATE AND ASPARAGINE METABOLISM	ASPARTATE AND ASPARAGINE METABOLISM	0.1707	0.4962	-1	14	114	0.12280701754386	-1.28	negative
GLUTATHIONE METABOLISM	GLUTATHIONE METABOLISM	0.1962	0.5529	+1	3	19	0.157894736842105	1.256	negative
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.206	0.5556	-1	6	49	0.122448979591837	-1.263	negative
GLYCOSPHINGOLIPID METABOLISM	GLYCOSPHINGOLIPID METABOLISM	0.2091	0.5556	-1	10	67	0.149253731343284	-1.25	negative
PURINE METABOLISM	PURINE METABOLISM	0.2336	0.5872	-1	9	80	0.1125	-1.217	negative
PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	0.2289	0.5872	-1	6	59	0.101694915254237	-1.241	negative
PYRUVATE METABOLISM	PYRUVATE METABOLISM	0.2613	0.6396	-1	4	20	0.2	-1.205	negative
LEUKOTRIENE METABOLISM	LEUKOTRIENE METABOLISM	0.2748	0.6426	-1	14	92	0.152173913043478	-1.148	negative
SELENOAMINO ACID METABOLISM	SELENOAMINO ACID METABOLISM	0.2764	0.6426	+1	3	35	0.0857142857142857	1.181	negative
PENTOSE AND GLUCURONATE INTERCONVERSIONS	PENTOSE AND GLUCURONATE INTERCONVERSIONS	0.2902	0.6582	+1	1	15	0.0666666666666667	1.15	negative
CAFFEINE METABOLISM	CAFFEINE METABOLISM	0.3039	0.673	+1	1	11	0.0909090909090909	1.138	negative
XENOBIOTICS METABOLISM	XENOBIOTICS METABOLISM	0.3153	0.6733	-1	10	110	0.0909090909090909	-1.108	negative
PROSTAGLANDIN FORMATION FROM DIHOMO GAMA-LINOLEIC ACID	PROSTAGLANDIN FORMATION FROM DIHOMO GAMA-LINOLEIC ACID	0.3186	0.6733	+1	3	11	0.272727272727273	1.148	negative
VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	0.3325	0.6872	+1	10	65	0.153846153846154	1.104	negative
PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	0.4029	0.736	-1	5	27	0.185185185185185	-1.045	negative
VITAMIN E METABOLISM	VITAMIN E METABOLISM	0.4115	0.736	+1	4	54	0.0740740740740741	1.065	negative
POLYUNSATURATED FATTY ACID BIOSYNTHESIS	POLYUNSATURATED FATTY ACID BIOSYNTHESIS	0.3923	0.736	-1	1	21	0.0476190476190476	-1.09	negative
PROTEOGLYCAN BIOSYNTHESIS	PROTEOGLYCAN BIOSYNTHESIS	0.4085	0.736	-1	1	27	0.037037037037037	-1.077	negative
N-GLYCAN DEGRADATION	N-GLYCAN DEGRADATION	0.3966	0.736	+1	3	16	0.1875	1.09	negative
DRUG METABOLISM - OTHER ENZYMES	DRUG METABOLISM - OTHER ENZYMES	0.3775	0.736	-1	4	31	0.129032258064516	-1.1	negative
PENTOSE PHOSPHATE PATHWAY	PENTOSE PHOSPHATE PATHWAY	0.3755	0.736	+1	3	37	0.0810810810810811	1.111	negative
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	0.426	0.7475	-1	14	45	0.311111111111111	-1	negative
