"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"267.167558310987","C16608","M-CO2+H[1+]","0.00198184421697079"
"528.24858871143","C03642","M-H4O2+H[1+]","0.0038122446600255"
"379.281976845157","C13856","M+H[1+]","0.00229962161301955"
"251.125057762188","C03415","M+H2O+H[1+]","0.00128129541798216"
"301.151879086208","C05399","M-CO2+H[1+]","0.00250261943801888"
"275.0533957592","C06606","M[1+]","0.00250424080002176"
"275.0533957592","CE5627","M+K[1+]","0.00166570756999818"
"255.098955206092","C07535","M(S34)+H[1+]","0.00197873932199855"
"255.098955206092","C07535","M(Cl37)+H[1+]","0.000578739322008914"
"255.098955206092","C16582","M+H[1+]","0.00137873932197863"
"255.098955206092","C16584","M+H[1+]","0.00137873932197863"
"255.098955206092","C02406","M+H2O+H[1+]","0.0013667393219805"
"255.098955206092","C02700","M+H2O+H[1+]","0.00137873932197863"
"255.098955206092","C03150","M[1+]","0.000855206092012395"
"255.098955206092","C04874","M[1+]","0.00215520609199871"
"255.098955206092","C15605","M+H2O+H[1+]","0.00137873932197863"
"169.075808372214","C04540","M(C13)+2H[2+]","0.000381905443987307"
"169.075808372214","CE3087","M+H[1+]","0.00020909455599849"
"169.075808372214","C00078","M-H4O2+H[1+]","0.00016809455601674"
"169.075808372214","C00525","M-H4O2+H[1+]","0.00016809455601674"
"281.183819294832","C07572","M-CO2+H[1+]","0.002542828062019"
"488.274710613092","CE5798","M-NH3+H[1+]","0.000865853678021722"
"488.274710613092","C05462","M+K[1+]","0.00218285367805038"
"488.274710613092","C05466","M+K[1+]","0.00216585367797961"
"329.136607319384","C02999","M-H4O2+H[1+]","0.00233085261402266"
"164.929749758921","C05697","M+H2O+H[1+]","7.32921509722928e-05"
"656.285962141477","C05769","M(C13)+H[1+]","0.00628567470687358"
"656.285962141477","C05770","M(C13)+H[1+]","0.00628567470687358"
"309.180344266265","C00280","M+Na[1+]","0.0022322005049773"
"309.180344266265","C11173","M-HCOOK+H[1+]","0.00283220050499722"
"309.180344266265","andrstndn","M+Na[1+]","0.00220020050494441"
"539.269393947769","C00486","M-HCOOH+H[1+]","0.00401748099898214"
"539.269393947769","C00500","M-CO2+H[1+]","0.00411748099895703"
"158.096390983741","C06213","M-NH3+H[1+]","8.54830290109021e-05"
"158.096390983741","C09640","M-H4O2+H[1+]","1.45169709924176e-05"
"158.096390983741","CE4890","M-H4O2+H[1+]","3.9516970986142e-05"
"448.206840020179","C11133","M(C13)+H[1+]","0.00206355340901609"
"448.206840020179","estroneglc","M(C13)+H[1+]","0.00210255340903132"
"448.206840020179","C05503","M[1+]","0.00285997982098252"
"448.206840020179","estradiolglc","M[1+]","0.00287697982099644"
"306.0595870093","C00140","M+HCOOK[1+]","0.0011105425300002"
"306.0595870093","C00212","M+K[1+]","1.05425300489514e-05"
"306.0595870093","C00330","M+K[1+]","1.05425300489514e-05"
"306.0595870093","C00645","M+HCOOK[1+]","0.0011105425300002"
"306.0595870093","C01132","M+HCOOK[1+]","0.0011105425300002"
"233.114525592407","C03415","M+H[1+]","0.00134912563700595"
"263.125041656908","CE2102","M-C3H4O2+H[1+]","0.000376190138013044"
"173.041894538018","C00121","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00181","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00259","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00309","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00310","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00312","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00508","M+Na[1+]","0.000181928751999294"
"173.041894538018","C00989","M+HCOONa[1+]","8.19287519959744e-05"
"173.041894538018","C01089","M+HCOONa[1+]","8.19287519959744e-05"
"173.041894538018","C01188","M+HCOONa[1+]","8.19287519959744e-05"
"173.041894538018","C03197","M+HCOONa[1+]","8.19287519959744e-05"
"173.041894538018","C05984","M+HCOONa[1+]","8.19287519959744e-05"
"173.041894538018","C06001","M+HCOONa[1+]","8.19287519959744e-05"
"449.198910773295","C11133","M(S34)+H[1+]","0.00173430652500883"
"449.198910773295","C11133","M(Cl37)+H[1+]","0.000334306524962358"
"449.198910773295","estroneglc","M(S34)+H[1+]","0.00177330652502405"
"449.198910773295","estroneglc","M(Cl37)+H[1+]","0.000373306524977579"
"437.214580238333","C05504","M-CO+H[1+]","0.00229622843704647"
"437.214580238333","C05956","M+HCOONa[1+]","3.77156300146453e-06"
"437.214580238333","C05962","M+HCOONa[1+]","3.77156300146453e-06"
"307.151589381092","C05791","M+H+Na[2+]","0.00188708567799267"
"307.151589381092","CE2102","M-CO+H[1+]","0.000823914321983921"
"469.242154641565","C01246","M(Cl37)+H[1+]","0.00452417479493761"
"259.072948404418","C16634","M-HCOOK+H[1+]","0.000571937647976029"
"448.243610247227","C06124","M+HCOONa[1+]","0.000133780457019839"
"448.243610247227","CE5703","M+HCOOK[1+]","0.00231021954300559"
"448.243610247227","CE5704","M+HCOOK[1+]","0.00231021954300559"
"415.101034364456","C00255","M+K[1+]","4.21023140120269e-05"
"109.026177333921","C00055","M(C13)+3H[3+]","0.000534200484338498"
"499.230143730075","C11061","M+Na[1+]","0.000132736694979485"
"362.191064743934","CE1350","M(S34)+H[1+]","0.00213627716402698"
"362.191064743934","CE1350","M(Cl37)+H[1+]","0.000736277163980503"
"289.10427457059","C14852","M(S34)+H[1+]","0.00179810382002188"
"289.10427457059","C14852","M(Cl37)+H[1+]","0.000398103819975404"
"167.103936859419","CE5848","M(C13)+2H[2+]","0.000513607350995926"
"167.103936859419","CE7109","M(C13)+2H[2+]","0.000513607350995926"
"167.103936859419","CE7110","M(C13)+2H[2+]","0.000513607350995926"
"167.103936859419","C04785","M+H+Na[2+]","0.00153960735102032"
"167.103936859419","C06423","M+Na[1+]","0.000339607351008908"
"167.103936859419","C16321","M+H+Na[2+]","0.00153960735102032"
"167.103936859419","CE5528","M+H+Na[2+]","0.00154810735099886"
"199.13035233925","C00756","M+HCOONa[1+]","0.000124127519995909"
"307.079794806901","C11945","M(C13)+3H[3+]","0.00178165986898193"
"307.079794806901","C11946","M(C13)+3H[3+]","0.00178165986898193"
"307.079794806901","C01225","M-CO+H[1+]","0.00101834013099733"
"307.079794806901","C05643","M+NaCl[1+]","0.00218165986899521"
"307.079794806901","CE2119","M+NaCl[1+]","0.00217065986896614"
"434.191297360399","CE5139","M+HCOONa[1+]","0.000209893629005364"
"434.191297360399","CE7105","M+HCOONa[1+]","0.000209893629005364"
"317.114744533041","C00921","M(S34)+H[1+]","0.00103193372899568"
"317.114744533041","C00921","M(Cl37)+H[1+]","0.00243193372904216"
"125.020907185922","C00018","M(C13)+2H[2+]","0.000369280847991149"
"125.020907185922","C00109","M+Na[1+]","6.9280847995401e-05"
"125.020907185922","C00164","M+Na[1+]","6.9280847995401e-05"
"125.020907185922","C00232","M+Na[1+]","6.9280847995401e-05"
"125.020907185922","C00349","M+Na[1+]","6.9280847995401e-05"
"125.020907185922","C06002","M+Na[1+]","6.9280847995401e-05"
"259.057361547127","C16362","M+NaCl[1+]","0.000585080356984236"
"326.099612461925","C00089","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00185","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00208","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00243","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00252","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00897","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C01083","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C01235","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C05400","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C05402","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C06373","M-NH3+H[1+]","0.00263599515500346"
"326.099612461925","C00051","M+H2O+H[1+]","0.00206400484501046"
"326.099612461925","C05839","M[1+]","0.000587538074967142"
"227.0676785276","C00475","M-NH3+H[1+]","0.00140206083000294"
"227.0676785276","C05711","M-NH3+H[1+]","0.00140206083000294"
"227.0676785276","C00299","M-H2O+H[1+]","0.00150206083000626"
"227.0676785276","C02909","M+HCOONa[1+]","0.000197939170021755"
"227.0676785276","C05844","M-CO+H[1+]","0.00189793916999292"
"227.0676785276","C08261","M+K[1+]","2.06083001330626e-06"
"227.0676785276","C14089","M+HCOONa[1+]","0.000197939170021755"
"201.088303307832","C00299","M-CO2+H[1+]","0.00132684106199576"
"201.088303307832","C00526","M-CO+H[1+]","0.00142684106199908"
"256.093984832208","C03492","M-CO2+H[1+]","0.000491634562024501"
"256.093984832208","C04751","M-HCOOK+H[1+]","0.00120836543794667"
"256.093984832208","pcrn","M+K[1+]","0.000200634562020241"
"290.085582307188","C00140","M+HCOONa[1+]","0.00100584041803131"
"290.085582307188","C00212","M+Na[1+]","0.000494159581990061"
"290.085582307188","C00330","M+Na[1+]","0.000494159581990061"
"290.085582307188","C00645","M+HCOONa[1+]","0.00100584041803131"
"290.085582307188","C01132","M+HCOONa[1+]","0.00100584041803131"
"290.085582307188","C01169","M-H2O+H[1+]","0.00229415958199297"
"290.085582307188","C03410","M-H4O2+H[1+]","0.00139415958199152"
"290.085582307188","C14796","M-H2O+H[1+]","0.00110584041800621"
"290.085582307188","C14797","M-H2O+H[1+]","0.00110584041800621"
"290.085582307188","C14798","M-H2O+H[1+]","0.00110584041800621"
"99.0419320618957","C00583","M+Na[1+]","0.000255595125693731"
"99.0419320618957","C02912","M+Na[1+]","0.000255595125693731"
"99.0419320618957","C02917","M+Na[1+]","0.000255595125693731"
"223.166763742538","C02679","M+Na[1+]","0.00011272423202513"
"244.895909754236","C14846","M+NaCl[1+]","0.00156671253401441"
"399.127242488521","C00255","M+Na[1+]","0.000333978249045686"
"267.156188287631","CE2102","M-HCOONa+H[1+]","0.00217717913903925"
"307.130344122966","CE5251","M+Na[1+]","0.000167343804037046"
"307.130344122966","CE5252","M+Na[1+]","0.000167343804037046"
"307.130344122966","CE5255","M+Na[1+]","0.000167343804037046"
"307.130344122966","CE5256","M+Na[1+]","0.000167343804037046"
"236.088992626364","C05587","M+HCOONa[1+]","0.000283840406012814"
"236.088992626364","C07453","M+HCOONa[1+]","0.000283840406012814"
"218.153851864889","C07073","M-NH3+H[1+]","0.000124601881026365"
"268.152074723256","C04540","M-HCOONa+H[1+]","0.000701743514014197"
"640.295814263063","CE5531","M+H[1+]","0.00594479629296529"
"640.295814263063","CE6235","M+H[1+]","0.00594479629296529"
"640.295814263063","CE6242","M+H[1+]","0.00594479629296529"
"640.295814263063","CE6243","M+H[1+]","0.00594479629296529"
"640.295814263063","CE7086","M+H2O+H[1+]","0.00596479629302848"
"335.13611513353","C00718","M-H4O2+H[1+]","0.00251666676001605"
"335.13611513353","C04540","M[1+]","0.00321513352997727"
"335.13611513353","C05796","M-H4O2+H[1+]","0.00251666676001605"
"335.13611513353","C16560","M+HCOOK[1+]","0.000561333240057138"
"347.183002408679","CE2054","M-H2O+H[1+]","0.00227305809102063"
"347.183002408679","CE5976","M-H2O+H[1+]","0.00227305809102063"
"567.264321557909","C00486","M-H2O+H[1+]","0.00414509113898021"
"237.088372147491","C02406","M+H[1+]","0.00138368072097705"
"237.088372147491","C02700","M+H[1+]","0.00139568072097518"
"237.088372147491","C15605","M+H[1+]","0.00139568072097518"
"237.088372147491","C00835","M[1+]","0.00217214749099526"
"237.088372147491","C00964","M+HCOOK[1+]","0.000304319279024412"
"237.088372147491","C02452","M+HCOOK[1+]","0.000304319279024412"
"237.088372147491","C02759","M+HCOOK[1+]","0.000304319279024412"
"237.088372147491","C03684","M[1+]","0.00217214749099526"
"237.088372147491","C11409","M+HCOOK[1+]","0.000304319279024412"
"237.088372147491","C16015","M+Na[1+]","0.000304319279024412"
"237.088372147491","C16582","M-H2O+H[1+]","0.00139568072097518"
"237.088372147491","C16584","M-H2O+H[1+]","0.00139568072097518"
"150.12771807326","C09640","M-CO2+H[1+]","5.83935099882638e-05"
"150.12771807326","CE4890","M-CO2+H[1+]","3.33935099945393e-05"
"255.119787880777","C04692","M-NH3+H[1+]","0.00161358599299888"
"343.245589671166","C05963","M-CO+H[1+]","0.00218679560401824"
"158.096316253049","C06213","M-NH3+H[1+]","0.000160213721017044"
"158.096316253049","C09640","M-H4O2+H[1+]","6.02137210137244e-05"
"158.096316253049","CE4890","M-H4O2+H[1+]","3.52137210199999e-05"
"438.21314655216","C06124","M+NaCl[1+]","0.00152991460998919"
"438.21314655216","CE5846","M+K[1+]","0.00316991460994132"
