Species	GeneSet	Name
Human (9606)	feature_human_hsa_biocyc.gmt	human_hsa_biocyc
Human (9606)	feature_human_hsa_mfn.gmt	human_hsa_mfn
Human (9606)	feature_expanded_human_hsa_biocyc.gmt	human_hsa_biocyc_expanded
Human (9606)	feature_expanded_human_hsa_mfn.gmt	human_hsa_mfn_expanded
Human (9606)	feature_targetSize_human_hsa_biocyc.gmt	human_hsa_biocyc_targetSize
Human (9606)	feature_targetSize_human_hsa_mfn.gmt	human_hsa_mfn_targetSize
Mouse (10090)	feature_mouse_mmu_biocyc.gmt	mouse_mmu_biocyc
Mouse (10090)	feature_expanded_mouse_mmu_biocyc.gmt	mouse_mmu_biocyc_expanded
Mouse (10090)	feature_targetSize_mouse_mmu_biocyc.gmt	mouse_mmu_biocyc_targetSize
Fruit Fly (7227)	feature_fly_dme_biocyc.gmt	fly_dme_biocyc
Fruit Fly (7227)	feature_expanded_fly_dme_biocyc.gmt	fly_dme_biocyc_expanded
Fruit Fly (7227)	feature_targetSize_fly_dme_biocyc.gmt	fly_dme_biocyc_targetSize
Yeast (559292)	feature_yeast_sce_biocyc.gmt	yeast_sce_biocyc
Yeast (559292)	feature_expanded_yeast_sce_biocyc.gmt	yeast_sce_biocyc_expanded
Yeast (559292)	feature_targetSize_yeast_sce_biocyc.gmt	yeast_sce_biocyc_targetSize
E. coli (511145)	feature_eco_kegg.gmt	ecoli_eco_kegg
E. coli (511145)	feature_expanded_eco_kegg.gmt	ecoli_eco_kegg_expanded
E. coli (511145)	feature_targetSize_eco_kegg.gmt	ecoli_eco_kegg_targetSize
