Gene	feature_identifier	Protein	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4
NBPF19	NBPF19_P0DPF3	P0DPF3	3.58722334396196	9.67177521861793	8.31937594997482	7.40905652119056	9.53101875785002	10.0172353188044	8.07218846922306	8.39570984785612	7.82322438051982	9.76285801371873
UBE2L3	UBE2L3_A0A1B0GUS4	A0A1B0GUS4	14.8201722510777	14.6278185039765	14.9283454718814	14.8857706571388	14.8741861437385	14.6776770425923	14.5968170933805	14.7693030322009	14.7330473134442	14.7275986356359
RBM47	RBM47_A0AV96	A0AV96	17.0105545447801	17.0057639586671	16.9113248620827	17.0343822447881	17.0405321783275	17.184032858073	17.184032858073	17.1510949046967	17.1971494401379	17.1524688730049
TTC26	TTC26_A0AVF1	A0AVF1	11.8629275843892	11.7280467626231	11.9172214498145	12.0813753049405	11.8321570937262	11.9831610081537	11.8259333056835	12.2254274938061	11.6311161092127	11.8719328468253
UBA6	UBA6_A0AVT1	A0AVT1	18.495859266649	18.218125248716	18.337082044504	18.3893419025617	18.3117873072577	17.9472907023786	17.8504951716094	17.9699166514075	17.9716810012696	18.0669981390731
ESYT2	ESYT2_A0FGR8	A0FGR8	18.9116646912145	18.8662038567671	19.0256817500879	18.8903653478132	18.8662038567671	18.8838981645544	18.8701860713734	18.8994393590112	18.9073267637977	18.8507599867973
MED19	MED19_A0JLT2	A0JLT2	13.886310272065	14.1936519155166	13.8918025652911	13.8253292844368	13.9428468606662	14.0551256119572	14.4158400404465	14.1707349589069	14.1511626120679	14.1005105655913
UHRF1BP1L	UHRF1BP1L_A0JNW5	A0JNW5	12.1432788028611	12.383844209059	12.0884306986229	12.3793625679298	12.4326624235448	11.7846156681683	11.9601370845953	11.9363549606833	11.8904684531712	11.9601370845953
KIAA1598	KIAA1598_A0MZ66	A0MZ66	16.3285646187047	16.3534037760815	16.2786472026469	16.3649493987125	16.3247082850356	16.0543275579722	15.9860494051995	16.0385637697059	16.1049811996396	16.1389347725963
TMEM223	TMEM223_A0PJW6	A0PJW6	12.1563845192231	12.2562371745858	12.1122095170163	12.3139706629629	12.395884577428	12.2197970188463	12.5459655338378	12.3001003310299	12.5891349296931	12.5825567994847
ARHGAP10	ARHGAP10_A1A4S6	A1A4S6	14.9976945120644	15.192778515827	15.2963051602302	15.0484563991442	15.2049992166569	15.4849572251724	15.5723988194741	15.3185731349292	15.4162944182461	15.5748151710347
ILVBL	ILVBL_A1L0T0	A1L0T0	18.0105827652396	17.9886013884944	18.0691638223517	18.0046745686028	18.047960938173	17.9059140084049	17.9361857545787	17.8504951716094	17.9541151110239	17.9123707093545
