Feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
Row.1_38503	0.0262673382035279	0.0561910546581569	0.0469469407241206	0.0763339304609412	0.0359010135723652	0.00449555170881002	-0.0104114328459217	0.0307320210786067	-0.040442349457489	-0.0501164133748075	0.0332648954909529	0.0146275550562151
Row.8_25268	-0.03277964847216	-0.0157134012972384	0.025708439923605	0.0209916300745961	-0.00886117821306815	-0.006325109222262	0.0474372774847378	0.0545563268795035	-0.0499776761249848	0.0458394494821468	0.0107916232787514	0.0289716309440164
Row.11_27012	0.0166913756011681	-0.0355364696409501	9.39095995578431e-05	0.000313440899546981	-0.0128698706655742	-0.0191493370603683	-0.0152684069065269	-0.0410347435706636	0.00388455832012484	0.00450193773841249	0.0348109324995129	0.056080454826863
Row.15_24727	0.0160451449102164	0.00280054970099301	-0.00868678033458841	0.0150953007761396	0.00626518149658455	0.00665845840243265	-0.0225216079053978	-0.000720320682212823	0.0269537751626809	0.0324676498041277	0.0147097554755503	0.0546680629081667
Row.17_50630	-0.000136452873094262	-0.0043019223659306	0.0150157311292655	0.00556097099764559	0.00382230226299078	0.021633296295823	-0.0160740288454711	0.00828569810403824	-0.0078250075686971	-0.0101710700851073	-0.0202144504668909	0.187199574041015
Row.20_14227	0.00444873015769204	0.00965234146938638	-0.0198336285804535	0.071891307678527	-0.0012040363123136	-0.000888431168773441	-0.00622657094306147	-0.0154346865397594	-0.0157612713789439	0.00680655123386098	0.0570552261844242	-0.0323964976704158
Row.21_33787	-0.0478909640128809	0.0417159555153141	0.0569693164245603	-0.0480043032050629	-0.0414056321689417	0.0551309592183624	-0.0170334719078174	-0.0645753959632311	-0.0180440935368808	-0.0174075186509959	-0.0548064915846988	-0.0194499845052349
Row.22_11977	-0.0574101071507667	-0.0270998110445873	-0.0370068975447202	0.0269518166796908	0.0124301458260456	-0.0385951488288622	0.0241845283960383	-0.0390895978166647	0.0219750135881287	-0.00625337500941331	0.00367403722655498	-0.100631807038994
Row.23_1286	0.0270620433352661	-0.0300949027736828	-0.00207644846147779	0.0214315571980548	0.0311059567646525	-0.00349821199095585	-0.018415694587063	0.0193126697688435	-0.0168400852274508	-0.0307002780566618	0.00510838901121752	0.0356893235571875
Row.27_13902	-0.0080197813718658	0.00667067061261766	0.00400505669809005	0.0144911213440307	0.00894361715911855	0.00798208686691231	0.0282346170984605	-0.00212631817711361	-0.0209000381058911	-0.00535209407415974	0.00074525466472963	-0.0339143953262378
Row.36_51026	-0.0251510653896521	0.00615967899646185	0.0382906972120156	0.000669832691051077	0.00858959206670864	0.0696211661117922	-0.00827907413454386	-0.00587365384539679	0.038645469235425	0.000275803140531995	0.00946420940264446	-0.015916063652941
Row.37_13188	-0.0427310854682188	-0.0090807499198145	0.0165924722180347	-0.0150710753575087	-0.0120814779818343	-0.0309616201678242	-0.0130690065583703	-0.012366939737446	0.0511941655033992	-0.0692691435775043	-0.0027794722522889	0.00684724735721179
Row.41_16252	-0.040059747686106	-0.00894651521342675	0.00395721356878259	0.00479930717065985	0.0201012351619667	0.0146076097290859	-1.95790999696302e-06	0.0012519923984508	-0.0188857274984692	-0.0156044635186021	-0.0107892845969586	-0.00855978825121678
Row.42_28893	-0.0107442343659249	-0.0107016821193511	0.0422886249214508	0.00235527526288558	0.026724146747566	0.0522899213739426	0.00959364411213901	0.0404356544278129	0.00226931595043829	0.0328865886954194	-0.00606234230667971	0.0260694177139825
Row.43_40693	0.0016746803954293	-0.0171461781854523	0.00699194280833331	-0.0346699190654897	-0.0113262968259323	0.0145574678548837	0.0131599001575961	0.00945227806376462	-0.00292243564564041	0.0173286278738304	0.0383041361917185	-0.0281937190866521
Row.45_1516	0.0233799079309865	-0.0182052508943538	-0.000208956233051799	0.0151406698327405	-0.0039762059355997	0.0234134698105045	0.0291080802533807	-0.00954161626986216	0.0129370729861514	-1.57820251786848e-05	0.0346897151377655	-0.0287183446127936
Row.47_16688	0.0527417015435149	0.00723075945805973	0.00103288093048319	-0.00252935960242304	0.033603513984154	0.0294284142395832	-0.00132753821955834	-0.0289253950636997	-0.0287096855916713	0.00555328778479408	-0.00300972039049061	-0.0297297789425594
Row.48_52930	0.0118065349493704	0.00362821177434455	0.0115416650517642	0.00538987134291786	0.0183864581565509	-0.00470718281815172	-0.0164614842034111	-0.0134024925850275	0.00113516537391124	0.0116549367041117	-0.0391660459942904	0.0144314784818255
