Feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
Row.1_57526	-0.00298880862025221	-0.0109762559282611	6.76913296545485e-05	0.00967719924719519	-0.00601208466688931	-0.0236070183877917	-0.000742828306915308	0.00685131851595551	-0.0226524931057295	-0.0059485283286394	-0.0119365137425302	0.0139794766241367
Row.2_98021	0.00449968579596494	-0.0140147747061005	-0.0199085214664933	0.00526079928609097	-0.0115197343138662	-0.0139875383126409	0.0027777328541369	0.0532469614229216	0.0015315262268542	-0.00284035022799908	0.0158459743975593	0.115145462918594
Row.4_111000	-0.00282334278091419	-0.00351174456635419	-0.0158071796333113	-0.00939717375008825	-0.0044122055134084	0.00976855991850083	0.00881709987595013	0.0066787598210598	0.0246242292193367	-0.00289029321921205	0.0154321312700606	0.110010000856699
Row.5_129984	-0.0222804677830176	0.00490454224699244	-0.00615613317706866	-0.0124351008532169	-0.013825800250055	-0.005423152863636	-0.0140021783521453	0.00687018444276089	-0.00681804058999234	-0.0206302932078281	0.0259410244596158	0.0921570905956002
Row.7_96085	-0.000747825171480947	-0.00463818649904701	-0.00762893077599028	0.00407324147926929	0.010442943656935	0.00238595365806678	-0.0132577919980849	-0.00354136070764846	0.00324522222919863	0.00709032340274321	-0.0189089624381613	0.0686311226513826
Row.8_59209	-0.0119200550218452	0.0015770659343297	0.00260658950881758	0.0068014219840561	0.00489831861238381	0.0168089372468077	0.00667684785287369	-0.00329714854671163	-0.0107554242297482	-0.00980728430764295	-0.0101500515354285	-0.0482889041827448
Row.9_2974	0.00403114308673018	-0.0147587102630381	0.0149461495840865	0.00811193735990029	-0.0104901505591496	-0.00614236653830887	-0.00210109887426776	0.0123948423702767	-0.00708316298845298	-0.000412720338053041	0.00232807362862444	0.0346611226326593
Row.10_111658	-0.000740250312056748	0.0801425644777963	-0.00695546217047461	-0.0262856394068557	-0.0126201358313623	-0.0452612390661877	-0.0196730155853966	-0.0432083988850322	-0.00315277809082866	0.0400870506321703	0.0166920562543046	0.055561338221454
Row.11_113493	-0.00731639748735118	-0.0106463170982614	-0.010660371399588	0.00260841067077862	-0.00424656815468086	-5.92349725127261e-06	-0.00767685754185554	-0.00964423809165098	-0.00861887098388515	0.00137626405136668	-0.0099827898261468	-0.0288038608944421
Row.12_81499	0.0147213702709452	0.0579082998900255	0.0142185964131277	-0.0170573329047562	-0.00336250987427369	0.0217691720340539	-0.00745084238031013	0.00862176141942331	0.00175358615531771	-0.0192890646782294	-0.0170549591982757	-0.0436212247760856
Row.13_2268	0.0199724760529053	-0.0204377459374882	0.0127210016791082	0.00293886551763968	-0.0144566101265805	0.0122221907762229	0.0291054172983242	-0.0273041847495557	-0.00941968831255397	0.0397574476434278	0.022544140771196	0.0829893065404411
Row.14_3347	-0.005498786836876	-0.0195985296880843	0.00664403538627819	0.0333839485118387	0.0116032032328981	-0.00387875793728525	0.0276495877593677	-0.0121281827086231	-0.00506249415821226	-0.0150329155074046	0.0141916477733256	-0.0105355379378256
Row.15_113600	0.000720126923327857	0.00467186714932758	0.0142332899315292	-0.0247629912209364	-0.00634328004925663	-0.00843794152738824	-0.010442079075167	-0.0351074774875127	0.0349550557491071	0.0120475255258784	0.0179292693237735	0.0147846932421116
