Feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NBPF19_P0DPF3	0.0540548417975872	0.00708230437414505	0.172173376212955	0.0605286255331703	0.0265331948567867	-0.155529727514845	0.141333563169071	0.068498807568173	0.0292609798455548	0.053605922705885
UBE2L3_A0A1B0GUS4	-0.00581480802214394	-0.00749322163780563	-0.00291299302976908	-0.00418971398108239	-0.00202140604435554	-0.00156558449720566	0.00556239772449548	-0.00348084550031743	0.00466021691091779	0.000949756985131768
RBM47_A0AV96	0.00700193653593782	-0.00178950056327539	-8.69953254802108e-05	0.00430382441749099	0.0031286962058676	0.00323455215159868	-0.00275761219980754	0.00283771882055731	-0.000507155564509015	0.120984426564708
TTC26_A0AVF1	0.00128927618578921	-0.00509750594976616	-0.0135815311192103	-0.000157460339165922	-0.00236253641277202	-0.00641634418773667	0.021480293839549	-0.000576003460093132	-0.0137536746499807	-0.0189113002615813
UBA6_A0AVT1	-0.0172480976311173	-0.00276220165324835	-0.00499883317533679	-0.000474054927802387	-0.00190501117893874	-0.000168609625643984	-0.00190734941716426	-0.00635643005112492	-0.00272620277212959	0.0374207993208837
ESYT2_A0FGR8	-0.00116561158566091	-0.00077833804487392	0.000106402597928944	-0.00581275022952793	-0.004190790056086	0.000674006351503795	0.00175137054481066	-0.000873836954353733	0.00123199561455729	-0.0110841713082367
MED19_A0JLT2	0.0113222522371746	0.0115466913452711	0.00176480963274684	0.00063577703535928	0.00502364108052827	-0.000330662201382511	-0.00410671673345503	-0.000820908159637365	0.00555187542304338	0.0280082385689907
UHRF1BP1L_A0JNW5	-0.015158471301826	0.00613119625200101	-0.00118011382521386	0.0089339219785723	0.0123864527805465	-0.00574114186016079	0.00808322822749539	0.000211341026450245	0.0118589499025808	0.00081340124527839
KIAA1598_A0MZ66	-0.011561820914587	0.000821404172763941	0.00186703825182282	0.00301467088691492	0.00132369637630026	0.00037576566070013	0.00153190712606479	-0.0023775354872298	0.000487671944137326	-0.00647606154819422
TMEM223_A0PJW6	0.00782906500226483	-0.00248038011150193	0.00584708306129956	0.0036060345486304	0.0188837480753736	0.00314950990471328	-0.0082584831608802	-0.00555268919978504	0.0113264035682861	-0.00293906586742032
