	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	Glucose5	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4	NoGlucose5
Row.1_57526	21.5163981534761	22.5413619688297	22.3186616744663	22.6090829830388	21.9568700242885	23.2509488459442	22.8424878859771	21.7603791008609	22.8700104939286	22.6180215533609	21.9051761008374	22.1974158486616
Row.2_98021	20.9832548006039	20.9898706824252	20.5704570647383	20.3911518559832	21.647669947208	21.6889987819992	22.3122270554252	20.4035071014981	23.1278324229862	21.2911610406622	21.8799125434546	21.0811797022196
Row.4_111000	22.9681118345096	22.4743711085949	22.0477631593367	22.0894235644375	23.3964141132459	23.01548106378	22.7306134820356	23.1122893628741	22.8935834735187	22.409081034783	23.6403381143087	22.5480605098604
Row.5_129984	21.1808925780436	21.6047636112612	21.3886603090681	20.8702305939262	21.8293736587737	22.5759058236342	19.5915980445238	20.3339334369536	21.1889764753263	20.6075001093766	21.7006319096316	20.9046051620561
Row.7_96085	21.5508834970165	21.3509345883196	21.1279549146348	21.9653982601519	22.0516120333639	21.718465004127	21.5891425413307	21.8696894825453	21.7961910469187	22.3709601458199	21.307333796019	21.6784065820275
Row.8_59209	26.2807631227691	26.485956521107	25.8201058527279	26.3481014733048	26.5182679965195	26.3978497415909	25.7019069519852	25.8996760522395	25.4834497276956	25.5257727440467	25.2630557375894	25.4952745428576
Row.9_2974	21.9639696153758	21.5682545588684	22.6792231872917	22.0873788155882	21.5519278331112	22.7176978315147	22.9838399571881	22.042876216638	22.8280149224765	21.8492375851105	21.4547224678917	22.2871433825167
Row.10_111658	24.6037039163045	25.7687665608442	24.7288208308924	24.0666732859206	22.4914937404642	21.219140554981	20.4318221321683	21.5094249232205	20.8020730207305	25.2832672152993	26.7716592744565	25.2230414716189
Row.11_113493	20.98066093905	21.2375107579187	20.6691982996101	21.1132253387665	21.4222579355995	22.2852695197215	21.1207068715773	21.3986238167491	21.3316439554085	21.7565784334495	20.8826032041481	20.9918913962382
Row.12_81499	26.3481014733048	26.2575997634541	24.9781592801141	25.3915109599041	23.7071173081978	21.2393393213626	22.5672985953431	23.9346248063943	23.9457049406295	23.6613233980546	25.3257162091485	25.8996760522395
