feature_identifier	mz	mummichogID_hsa_mfn
Row.156_44653	467.262596508163	5adtststeroneglc,C11135,C11136,ahandrostanglc,andrstrnglc
Row.157_50612	677.400606955464	
Row.158_96090	264.120517929273	C01259,C04540
Row.159_108351	228.195643482803	
Row.161_87597	213.145837142207	
Row.163_76797	329.136274818103	C02999
Row.165_120774	81.0316191244697	C00207,C00479
Row.166_2227	276.835952228831	
Row.167_95389	265.188945305156	
Row.168_91841	247.025284005259	C00018
Row.169_119900	153.088570838935	CE4995
Row.170_95250	311.182633611648	
Row.171_94049	380.182961366632	
Row.173_64443	231.062396138904	C06205
Row.174_101821	227.10401692934	C00931,C00328,C05647,C16582,C16584
Row.175_130065	313.234839673977	C04717,C14827,C14765,CE5526,CE5527
Row.176_93207	151.122832380779	C01628,C02059
Row.177_2378	221.15085154807	CE7072
Row.178_69212	258.205891344554	
Row.179_99266	281.208479612289	CE1243,C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C06314,C06315
Row.180_3605	314.778962147915	
Row.181_100633	282.146452714065	C05176,C06174
Row.182_57967	419.225315269475	
Row.183_2370	307.260405129135	C03242,C01530,C05476,C13856,C15492,CE5072
Row.184_68853	162.091070120223	C03087,C05588,C05660,C09642,C14790,CE2122
Row.185_95831	303.156615835665	CE5251,CE5252,CE5255,CE5256
Row.186_105737	313.234851206644	C04717,C14827,C14765,CE5526,CE5527
Row.188_51850	387.198952765582	
Row.189_100968	241.177232121946	C00750
Row.190_48260	550.788901954007	
Row.191_2419	173.057064845367	C00299,C02646,C04079,C05829,C06608
Row.192_3455	108.04219067377	C06157
Row.193_100779	249.146072305528	C00449
Row.194_120499	351.25053983039	C05476,C00712,C01712,C04518,C05138,C05485,C18038
Row.195_64736	367.221783586598	C00712,C01712,CE2961
Row.196_95135	328.247305709735	
Row.197_71345	258.146418797102	C01416,C01516,C16576
Row.198_97652	208.094296055391	
Row.199_115908	325.234924328548	C00249,C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C05956,C05962,C05963,C06314,C06315
Row.200_49392	508.253032042621	
Row.201_41788	640.295814263063	CE5531,CE6235,CE6242,CE6243,CE7086
