PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
Row.1_57526	-0.00298880862025216	-0.0109762559282611	6.76913296545357e-05	0.00967719924719513	-0.00601208466688952	-0.0236070183877918	-0.000742828306915118	0.00685131851595538	-0.0226524931057295	-0.00594852832863985	-0.0119365137425301	-0.0277720279785829
Row.2_98021	0.00449968579596491	-0.0140147747061004	-0.0199085214664932	0.00526079928609089	-0.0115197343138659	-0.0139875383126404	0.00277773285413649	0.0532469614229213	0.00153152622685407	-0.00284035022799936	0.0158459743975591	0.0451116319944773
Row.4_111000	-0.00282334278091436	-0.00351174456635434	-0.0158071796333113	-0.00939717375008842	-0.0044122055134087	0.00976855991850105	0.00881709987594999	0.00667875982105999	0.0246242292193368	-0.00289029321921198	0.0154321312700607	0.111459045043784
Row.5_129984	-0.022280467783018	0.0049045422469926	-0.00615613317706864	-0.0124351008532167	-0.0138258002500548	-0.00542315286363622	-0.014002178352145	0.00687018444276077	-0.00681804058999235	-0.0206302932078276	0.025941024459616	0.00152115270792591
Row.7_96085	-0.000747825171481037	-0.00463818649904676	-0.00762893077599026	0.00407324147926918	0.0104429436569349	0.00238595365806658	-0.0132577919980851	-0.00354136070764838	0.00324522222919878	0.00709032340274294	-0.0189089624381612	0.0561555772110414
Row.8_59209	-0.0119200550218447	0.0015770659343295	0.00260658950881707	0.00680142198405591	0.00489831861238398	0.0168089372468075	0.00667684785287361	-0.00329714854671244	-0.0107554242297481	-0.00980728430764253	-0.0101500515354284	0.261173064389053
Row.9_2974	0.00403114308673032	-0.014758710263038	0.0149461495840865	0.00811193735989984	-0.0104901505591498	-0.00614236653830911	-0.00210109887426776	0.0123948423702767	-0.00708316298845261	-0.000412720338053183	0.00232807362862446	0.0869085829657587
Row.10_111658	-0.000740250312057178	0.0801425644777962	-0.00695546217047435	-0.0262856394068558	-0.0126201358313625	-0.0452612390661876	-0.0196730155853964	-0.0432083988850316	-0.00315277809082865	0.0400870506321706	0.016692056254304	-0.0236767575974156
Row.11_113493	-0.00731639748735122	-0.0106463170982615	-0.0106603713995877	0.00260841067077866	-0.00424656815468083	-5.92349725103376e-06	-0.00767685754185541	-0.00964423809165083	-0.00861887098388555	0.00137626405136669	-0.00998278982614719	-0.0569808124146663
Row.12_81499	0.0147213702709449	0.0579082998900255	0.0142185964131278	-0.0170573329047562	-0.00336250987427373	0.021769172034054	-0.0074508423803103	0.00862176141942327	0.00175358615531742	-0.0192890646782294	-0.017054959198276	0.0221463866665924
Row.13_2268	0.0199724760529055	-0.0204377459374881	0.0127210016791084	0.0029388655176392	-0.0144566101265808	0.0122221907762229	0.0291054172983241	-0.0273041847495552	-0.00941968831255351	0.0397574476434285	0.0225441407711949	0.144404939047851
Row.14_3347	-0.00549878683687594	-0.0195985296880843	0.00664403538627811	0.0333839485118386	0.0116032032328982	-0.00387875793728524	0.0276495877593676	-0.0121281827086233	-0.00506249415821223	-0.0150329155074045	0.0141916477733258	-0.033567868919116
Row.15_113600	0.000720126923327832	0.00467186714932757	0.0142332899315292	-0.0247629912209364	-0.00634328004925675	-0.00843794152738821	-0.0104420790751672	-0.0351074774875128	0.0349550557491071	0.0120475255258787	0.0179292693237732	-0.00560133304107966
Row.16_102899	-0.00113642533821943	-0.000287653409772944	-0.00863298939718211	0.0120175751331002	-0.00593945747781137	-0.00552241811274958	0.00492501582676952	-0.00251585975487558	0.0306722605669292	-0.00419298869170085	0.0109239266818063	0.0325704278481911
Row.17_4178	0.00482992405113531	0.0447991310639077	-0.0832425439404496	0.0952006358655899	0.0205165240857698	0.0245781992468137	0.0304365428960041	0.0428222760275734	-0.00683158466547111	0.0250065885878668	0.0211457724466077	0.0280454236399091
Row.18_119772	0.013661131573114	-0.0103327594921787	-0.0224509091349076	0.0112959674358327	0.00906597473013637	0.00220792922628719	-0.00527185068013095	0.00477506079762931	-0.0234694635189334	0.025344085592488	0.0097215125449673	0.0156380771016817
Row.19_30665	-0.0180293766029387	0.0164404173530875	0.0381657744003742	0.0308377830935914	-0.0169471684798206	-0.0133749856587123	0.00869169623286734	0.03681314362051	0.0240281883035312	0.0129652896251716	0.00949202731038485	0.0259006513215846
Row.20_91658	-0.0114800861563794	-0.00249819808483642	-0.0105341967926799	-0.00309718312945796	0.0164747331080425	0.00132020792238495	-0.00951399463449311	0.000457157619549991	0.00101450619115385	0.0114528354087883	-0.00666298346053172	-0.0258463916921593
Row.22_96984	-0.00353675374137011	-0.00203685583778403	-0.0162980500183854	-0.00435429595211686	0.0163005551134204	0.0115163866261248	-0.00492948767126323	0.0131705935609459	0.000682884736317091	-0.0105474393648975	-0.00102796591955522	-0.0153068813963419
Row.24_3723	-0.00442285275822001	-0.039480802251299	0.0614436500964648	0.00084561852193551	-0.0298072336770625	-0.0695306604697605	-0.0361584008915777	-0.0385089784663864	0.0408380242929305	-0.0110420178323377	-0.01618980731273	-0.0037697848201087
Row.25_114699	-0.00202818302980902	-0.0114995738176405	0.00138373117539607	0.00100681974425792	-0.0215578110481331	-0.00281287399156435	-0.0146378202655563	-0.0211043388726572	-0.0298253921910935	0.00314709702745293	-0.00985376736318994	0.0153874886889191
Row.26_85151	-0.0128301875177462	0.00268980966264352	-0.00728869229022837	-0.00796974397607148	-0.00231131637034429	0.00726124936524435	-0.00317940614169232	0.00155646967961931	-0.0118829153077916	-0.0123436394309229	0.00840345819618734	-0.0220926926461964
Row.27_119532	0.00432294077666599	-0.00409924880236263	-0.011157304288922	0.0116613032275403	-0.00955870031890862	-0.0110863691769568	-0.000273504821600896	-0.010424471920509	-0.00484824358194911	0.00295656221898819	-0.00748893608826558	0.0155152546069449
Row.29_55011	-0.00693535338449689	0.00139158208643336	0.00583191800846468	0.00549344188834987	0.00726713970692871	0.0017941492865253	-0.00612318496741762	0.00164871652790176	-0.00282512925661869	0.00379940218713512	-0.0165841773350699	-0.0265020687683781
