	Glucose	Glucose1	Glucose2	Glucose3	Glucose4	Glucose5	NoGlucose	NoGlucose1	NoGlucose2	NoGlucose3	NoGlucose4	NoGlucose5
Row.1_38503	21.0735533679118	21.3867687629267	24.7791447845001	25.8393867585237	24.8268018733053	23.9964925256919	20.9143212020092	19.9022490438807	21.3867687629267	22.7861897712834	22.2705173111201	25.2186170805599
Row.8_25268	25.535287564759	28.3706033126295	27.8208507015762	28.2011116685159	27.0711078966806	25.5218344840121	29.9170252396303	28.4837942185217	29.49738054468	28.5996056826261	29.004823440662	29.6822994389191
Row.11_27012	22.5280940764101	22.7159047442565	22.7336375307702	21.300986484034	22.5695334223464	24.7461438675565	23.3082217644719	23.2788467904097	22.892304437182	23.3355218378325	20.7921433347362	22.1619573905574
Row.15_24727	22.7159047442565	23.443685146604	22.9020980302561	22.9711159270156	23.6640348746618	23.9694184606328	22.8260021614045	21.9657971391472	22.5212367475257	21.8609429354842	21.9995584919799	22.0683892278174
Row.17_50630	23.8718550486934	22.977018677247	23.7706897343243	24.4140923037566	23.3263524621879	23.9294098814674	24.1435795235196	23.7598055345931	23.9068166332357	23.1870803382501	23.586454450492	24.3024234319964
Row.20_14227	23.3479074242613	24.9528446748891	25.3380780469537	25.4086570329366	26.551261649254	24.0295938207611	25.2829825525364	23.6640348746618	23.2243744286249	25.2641393765328	22.7291091270517	24.1606674301596
Row.21_33787	28.7757408697592	26.8404213153406	27.393357665519	26.9742490804683	22.8708262673379	22.5413108864581	25.3188200215516	28.3205521085644	25.2004473599439	25.1476275703015	27.1473024164406	30.0268321432083
Row.22_11977	25.2641393765328	25.8155424915255	26.5251381453821	24.7791447845001	24.0552201261998	20.3993344362293	27.1909260994762	26.750784736579	26.487360592198	27.3980539355859	24.8633357325262	22.9521194022134
Row.23_1286	24.1921851188469	23.1949403505634	24.4108751882941	25.4476771119984	25.5503480755423	27.5417035381407	25.4273986936647	24.17490570735	25.5288221799164	25.4086570329366	23.8071687831917	23.9758223926798
Row.27_13902	26.0138856432854	26.5998872758125	26.939283391193	27.3302733622474	26.3569648275595	25.8801996304203	26.8941260309191	26.5920560987515	26.1280370239465	27.2801969069853	27.1286684939719	26.9529894805939
Row.36_51026	22.7693466714459	21.8188462781605	22.7417576762972	22.3656231548657	19.3469309002101	19.9680648288669	23.051920551008	20.5588653967079	21.4449267610741	20.5845903906854	21.8408180848254	23.1160210479595
Row.37_13188	26.700232730239	24.0668799736798	26.7849804406266	23.6181718181051	23.443685146604	21.6434083647467	25.2694539424853	25.5969283050065	26.7125746032172	25.7992165134287	25.1273739292218	25.3987797086415
Row.41_16252	29.317771141985	28.6966453136644	29.1685775613702	29.996934278615	27.2988082184357	25.8531718413848	30.1892750923655	29.49738054468	29.996934278615	29.8314497555352	29.1805519637393	29.1805519637393
Row.42_28893	24.4140923037566	25.0012885829715	25.1642210055158	26.2398499109316	23.1224361694101	24.9767666236197	26.6904531540767	24.0370530905859	26.0058363763793	24.0607760150831	25.8830813666251	26.4083594924594
Row.43_40693	20.6616522474285	21.0735533679118	19.3469309002101	19.2834761675943	19.5664622235795	21.197982713412	21.1343273208805	20.2281347135754	20.8352329122667	20.7626280558303	20.6883713148271	21.1177505104866
