PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NBPF19_P0DPF3	0.0540548417975872	0.00708230437414592	0.172173376212954	0.0605286255331698	0.0265331948567866	-0.155529727514846	0.141333563169072	0.0684988075681713	0.0292609798455552	0.0099925949060589
UBE2L3_A0A1B0GUS4	-0.00581480802214452	-0.00749322163780547	-0.00291299302976925	-0.00418971398108283	-0.00202140604435545	-0.00156558449720607	0.00556239772449534	-0.00348084550031736	0.00466021691091765	-0.124719886295646
RBM47_A0AV96	0.00700193653593788	-0.00178950056327531	-8.69953254803031e-05	0.00430382441749111	0.00312869620586754	0.00323455215159874	-0.00275761219980764	0.00283771882055774	-0.000507155564508864	0.110322695569274
TTC26_A0AVF1	0.00128927618578994	-0.00509750594976592	-0.0135815311192107	-0.000157460339166151	-0.00236253641277215	-0.00641634418773607	0.0214802938395495	-0.000576003460093155	-0.0137536746499811	0.0415720757159426
UBA6_A0AVT1	-0.0172480976311166	-0.00276220165324813	-0.00499883317533747	-0.000474054927802481	-0.00190501117893889	-0.000168609625643816	-0.00190734941716379	-0.00635643005112484	-0.00272620277212924	0.134075157251565
ESYT2_A0FGR8	-0.00116561158566143	-0.000778338044874329	0.000106402597929152	-0.00581275022952737	-0.00419079005608694	0.000674006351504305	0.00175137054481117	-0.000873836954353514	0.00123199561455707	-0.0673105031418866
MED19_A0JLT2	0.0113222522371747	0.0115466913452707	0.00176480963274755	0.000635777035359082	0.00502364108052863	-0.000330662201382287	-0.00410671673345567	-0.000820908159637973	0.00555187542304322	0.0675117296371907
UHRF1BP1L_A0JNW5	-0.0151584713018261	0.00613119625200142	-0.00118011382521446	0.00893392197857228	0.0123864527805461	-0.00574114186016109	0.00808322822749592	0.000211341026451084	0.0118589499025809	-0.0560473258198767
KIAA1598_A0MZ66	-0.0115618209145869	0.000821404172764123	0.00186703825182261	0.00301467088691481	0.00132369637630012	0.000375765660700143	0.00153190712606477	-0.00237753548722963	0.000487671944137593	-0.00740782667113999
TMEM223_A0PJW6	0.00782906500226477	-0.0024803801115019	0.00584708306129953	0.00360603454863035	0.0188837480753736	0.00314950990471315	-0.00825848316088034	-0.00555268919978514	0.0113264035682859	-9.40414353125916e-05
ARHGAP10_A1A4S6	0.0138391356048018	-0.0010739464825117	0.0109384898294925	-0.00608821490103799	0.00374237197521093	-0.0089264836864125	-0.00582839413518964	0.00128748089946309	-0.00127219040579561	-0.0103990295451144
ILVBL_A1L0T0	-0.00470084525064905	-1.61439387909829e-05	0.00135900249547169	-0.00321543204823597	0.000109251911922065	-0.00119035742514129	-0.0022334363251638	0.00192282259459454	0.00472877265853473	3.08309663467534e-05
C1orf226_A1L170	-0.011181818839038	-0.00819980319049064	0.00566591475215419	0.00347526996661581	0.0046983650495472	-0.00759977726477898	-0.00197505548302917	0.0124527660682206	0.0134924166982587	0.00484632812334797
PLEKHG3_A1L390	-3.03283837630877e-05	0.00614969621869313	-0.0047870323535284	-0.00105610285037092	0.007642860461066	0.00104369368795328	-0.0143696871531365	-0.00403439891356387	-0.00867780474506141	0.00814181305218317
ELOVL7_A1L3X0	0.000620648616976182	0.00676121151657734	0.0122409011626876	-0.00418975222437148	-0.0113885923609884	0.0125682052701834	-0.00927763603219738	-0.00752404619424609	-0.0103613819298929	-0.00492967450854829
CXorf23_A2AJT9	0.0106254613508684	-0.000259922197015868	0.00333934702016731	0.00179956755341869	-0.0040708410319519	-0.000536190095189613	0.00454140943092176	0.000155733661430793	0.000660723551181313	0.0128087868164786
NBAS_A2RRP1	0.00306152422732562	0.000251878372959527	0.00217810094177274	-0.00314821001322045	-0.00240980648518816	0.000440964390763559	-0.00122977117857353	-0.00320866903806523	-0.00131251647918454	-0.0156429461990244
DENND3_A2RUS2	0.0165900212875156	-0.0686965267346452	-0.0410864442071239	0.0344734618491447	0.0565071531569252	0.0358751425904911	-0.0202931884981835	0.059685490406668	0.000724444714758611	0.00913233338136208
KIAA0922_A2VDJ0	0.013474224448372	-0.0091506393392041	0.00385298996093036	-0.00928351504709098	-0.00156173143897819	0.00167289328023802	-0.0128260821186629	0.00231717364717442	-0.00434032792112949	0.00511192779182726
VWA8_A3KMH1	-0.00434398155243077	0.00177616924902331	0.0123530148969424	-0.00233197475953562	0.00446277227850984	0.00119348134927165	0.00208802147911487	-0.00153937020185373	-0.00406030737308532	-0.0206576842498089
SBNO1_A3KN83	0.0020950970879793	0.0123576331561939	0.0146332263554262	0.0123371983435029	0.00227989959631731	-0.00956451167854068	0.00238224253474109	0.00441389293987636	-0.0132436822221121	-0.0127625669822377
GTPBP10_A4D1E9	0.0127251244020004	0.00642553027383814	-0.00584919671683514	-0.00468411701805602	0.00211725561902429	-0.00812623863763242	0.0043813466966995	0.00119065779359317	0.00340136759131015	0.0026656071995578
LCHN_A4D1U4	0.0079362033188739	-0.00740459439890525	0.00461400585879125	-0.00513999891346031	0.00128526820192312	-0.00266575268777346	0.00274334187794944	0.000463090059905912	-0.00398917910333175	0.0260031075278212
VPS37C_A5D8V6	-0.0140669022560944	0.000257292665556371	0.010312954376352	-0.00931500889458292	-0.00683976093536117	-0.00352481835082859	0.00509403959782232	0.0149444469309241	-0.000654026118584934	0.00811747797714184
CNOT1_A5YKK6	-0.000222084262474688	-0.000745577106579214	0.000149415240690379	0.0030104019696339	0.000408717993195371	-0.000441011245859625	0.00365830069850192	-0.0032383128077996	-0.000543861053747825	-0.0157142097974573
ARHGEF35_A5YM69	-0.00159196189696123	-0.020325642494434	-0.0235161413566212	-0.0104096723134866	0.00157136031772584	0.0108779361067214	0.000585494786796865	0.0121133870882604	0.00411210482716073	0.00752349330277624
MAP1LC3A_Q9H492	-0.0428606417845808	0.0123015349170547	-0.000889241145370085	-0.0127917169582829	-0.00983801957381047	-0.0051879380150733	0.00607823683639259	0.00086068445346848	0.00383047780648293	0.00870437884134781
C2orf72_A6NCS6	0.00287352385339178	0.000426142184371125	-0.00122320566485686	-0.00341231890845376	-0.00671433385332701	0.010582840458492	0.0019351441612177	0.0121797985841605	0.00519952963376289	-0.000119311906293917
PGP_A6NDG6	-0.0122618358651842	-0.00560930987947552	-0.00935407322951603	0.00864077265520607	-0.00547656324971644	-0.00507572418740767	0.00371232972586696	-0.00554310725780342	0.00125467285690447	0.00502724276318063
C5orf51_A6NDU8	-0.00516422357635104	-0.00933423370346432	-0.0159459274247622	-9.83827448166117e-05	0.00259103054756496	-0.00653413460808417	0.00339958899623636	0.0104369177314815	-0.00559519778969861	-0.00523547315818931
RCCD1_A6NED2	0.00791355496643585	0.00319049684406535	-0.0207712208557435	0.00726250574015465	-0.00108391358938223	-0.0336397266931552	-0.000534894943773672	-0.0450224421646354	0.0302422960249834	-0.011359298256817
