PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ESYT2_A0FGR8.1	0.0104955414912645	-0.00149675930647575	0.00274225881805011	0.00901731135836729	-0.0142517622398897	-0.00464268080554377	-0.0170439690184884	0.0101477824139083	-0.0105488226802062	0.273663632230467
ESYT2_A0FGR8.2	0.00451758162874456	0.00219869759664913	-0.00152182772480019	-0.000557091136378507	-0.0124554895736482	-0.00247271195509175	-0.00280729770441729	-0.0172316531148484	-0.0151869879509498	-0.151647911812252
MED19_A0JLT2	0.0270658324781116	0.0167519229245913	0.0128482382884648	0.0584879772703688	0.057157671019091	0.0192224932766143	-0.0325874930261345	-0.015683152104422	-0.00522052013681533	-0.0409135240276254
C1orf226_A1L170	-0.00891736787727189	-0.00571503157921025	-4.60937945528212e-06	0.0112558152028684	0.00610453815088324	0.00725692046996259	0.025975908887617	0.0102224852176399	-0.000841732796800814	-0.00492358251912754
C1orf226_A1L170.1	0.00193256308998673	-0.0159662861779784	0.00857033897215972	-0.00150713266283097	0.00126066538860391	0.00151916674926324	-0.00578890970659831	-0.00308926763587798	-0.00219614936737287	-0.0305709435145905
C1orf226_A1L170.2	-0.010330981189616	-0.000991310377170168	-0.0169092095600391	0.0101189599902016	0.00700946681941482	-0.00310702379823926	0.00739802310174142	-0.00618813489566462	-0.0196700413682634	-0.0109959642358347
PLEKHG3_A1L390	0.0013939994456215	0.00902859592709371	0.0221495695554528	0.0148774571185748	0.00626900943391371	-0.0065948538582376	-0.00906459009735723	0.0104303286380321	0.00751424561155864	-0.13201675746058
PLEKHG3_A1L390.1	0.0186918265491857	-0.011798022193341	0.0160475023198055	0.0137326032691697	0.00289944422046691	-0.007643562788705	-0.00303088345753087	-0.013203677876154	-0.00304874215255765	0.0829136180979176
PLEKHG3_A1L390.4	-0.00357147546794911	0.00419309297989103	-0.0117540755928415	0.000991825969255872	-0.000332521750964916	0.0257130678808082	-0.000269029764878766	-0.0107839788826093	-0.0173803556494759	-0.077437508447804
PLEKHG3_A1L390.5	0.00588124929918801	0.0140799199096005	-0.00682032273181472	-0.014975435097856	-0.00242614023168736	-0.00157831042017018	-0.0031005513362137	-0.00677414117819938	-0.0123572774878567	-0.00378304353380793
CXorf23_A2AJT9.2	0.0095966875527038	0.0114725131297503	0.0126944847037896	-0.00686905911775787	-0.00204646996583287	-0.0288146216272162	-0.00248395707031933	-0.0397445526211221	-0.00103883107283345	-0.00461674296425002
CXorf23_A2AJT9.5	-0.00248153500797506	0.00269801275705611	0.0181999521247878	-0.00242680222239683	-0.000528373525257432	-0.0131978660138079	0.00274815206460751	-0.000799823092469504	-0.0137082270128939	0.0109916940855867
CXorf23_A2AJT9.6	0.000309330214224154	0.0205618474058322	-0.00281930596870602	-0.0121368756074985	0.0138853506058156	-0.0183098672784629	0.0085802902415377	-0.0168816539882368	0.00895038583509582	0.00805446460162207
KRBA1_A5PL33	-0.00430418083818032	0.00203682594714296	0.00237412919176007	0.00780048768943647	-0.00623929890111201	-0.00243457348527203	0.00480971288125865	-0.00411382416615578	-0.0110901338356443	-0.00790457274973351
KRBA1_A5PL33.1	-0.00266020301011967	0.0060671704541516	0.00255928442592465	0.000469668772852455	-0.000979429170051871	0.00842737262903185	-0.0147173887168176	-0.0127161469753527	0.000979914313083007	0.000325124464213567
FAM83G_A6ND36	0.00126896260244246	-0.00570296561622761	0.000623933120844256	0.0237147047646139	0.00151902184361375	-0.0110959545605118	0.0186553689902794	0.000644021495668209	-0.00816869432384445	-0.000652118991941533
FAM83G_A6ND36.1	-0.00720021472488394	-0.0203052126439187	-0.0187337267433724	-0.0259339078159329	0.0343320864068486	-0.0203538674480916	-0.00484048030569268	0.011940951627884	-0.00649573015747877	0.0154620935792568
ZNF316_A6NFI3	0.00120870502069883	0.000518132405041357	0.00277855388794446	0.00546872521422104	-0.00299868086909887	0.00460720570037314	-0.00425052634359261	-0.00358711985747097	0.000463801143261514	0.00768388863220672
