feature_identifier	mz	mummichogID_hsa_biocyc
Row.177_62938	135.044590315112	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.179_50313	269.140337617011	CPD-731
Row.181_1441	276.885008932859	
Row.189_38459	149.060470938841	1-INDANOL
Row.192_30664	323.133594156617	
Row.194_14373	593.225422080831	
Row.195_38576	214.181585971106	C02477,CPD-5847,CPD-8611
Row.197_55690	253.145209338354	
Row.198_12789	438.152768127803	METHYLENE-THF
Row.201_54042	187.170340570108	
Row.205_23337	893.368869958922	
Row.206_28863	270.208505152029	
Row.209_20872	767.793731940432	
Row.210_12813	392.139569094397	
Row.212_18231	565.883478023954	
Row.214_17445	530.199216851004	
Row.215_21121	668.276841582353	
Row.216_29076	327.164829206485	
Row.219_57076	211.134156398019	CPD-10050,CPD-10051,CPD-260,CPD-261,CPD-9762,C01499
Row.223_21385	659.285144467464	
Row.224_1903	598.789537955851	
Row.226_25567	307.193092068772	
Row.233_33467	746.331147985129	
Row.236_19275	770.307343277377	
Row.237_31991	315.255186222587	PALMITATE
Row.239_22694	759.795206264819	5-DIPHOSPHO-1D-MYO-INOSITOL-12346P,CPD-11700,CPD-11937
Row.242_10527	346.099428253285	
Row.244_27133	281.143693256685	CPD-3482,CPD-3484
Row.245_45261	209.129790871273	N6N6N6-TRIMETHYL-L-LYSINE
Row.246_40293	161.060519579015	
Row.247_21605	835.330075004489	
Row.248_1962	467.838545868895	DIIODO-L-TYROSINE
Row.249_17703	587.20889508886	
Row.250_20437	823.333351271456	
Row.252_21192	787.316269841335	
Row.254_12953	376.148553986466	
Row.255_32302	325.170253236819	C06526
Row.258_1329	220.147207183266	DODECANOATE
Row.261_30162	294.135808777009	
Row.262_27465	309.117857851766	
Row.264_12080	421.47837523662	
Row.267_17684	562.236893254621	
Row.268_46383	441.254536947747	
Row.269_25976	281.143681181171	CPD-3482,CPD-3484
Row.272_60298	431.172692548743	CPD0-1028,C00353
Row.273_32340	197.191190522336	
Row.275_14166	427.146835439188	
Row.277_50688	199.076472237328	
Row.278_13736	456.162255996482	5-10-METHENYL-THF,METHYLENE-THF
