PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
PGRMC1_O00264	-0.00211297312264614	-0.0012681698431045	0.0141678448367344	0.003952195314973	0.00166791716829716	-0.00140476116729343	-0.00884947431189282	-0.0191665505546263	-0.00199953273880314	0.0180184096532769
PGRMC1_O00264.1	-1.36110013064938e-05	0.00582441444327353	0.00433403951456256	0.00781060464802141	0.0012862920243361	-0.00624283992081472	-0.00218629189940405	-0.0150845176349455	-0.00147850132151765	-0.011981785478747
SUPT5H_O00267	-0.00345827831425957	0.00228115176744401	-0.00462289849680311	-0.00772730079439595	0.00666534646334099	-0.00814036598957199	-0.017808734500045	0.02409014664826	0.01128802832114	-0.00151372743377203
EIF3F_O00303	0.0012133467761716	0.000575203217043088	-0.00693233041107206	-0.00113534514288219	0.00512313686089619	0.00138547577485119	0.000751804913668397	0.00848660049088622	0.00202922130244981	-0.00571401924910137
WASL_O00401	-0.00127953859994875	0.00490722751512176	-0.00398543708603775	-0.00479405471104995	-0.00413684875035239	-0.00796749378147543	0.00419690188237258	-0.00409006877352907	0.00804098764996188	-0.00573879375839056
EEF2K_O00418	0.000922772661000806	-0.00317588305345521	0.00644147094707736	-0.0122869477828738	-0.00865609912252759	0.0267205492652723	0.0197821992213727	0.0106057155201798	-0.00275181597345352	0.00503539218897317
CCRL2_O00421	0.000290953377724321	0.00460158319169987	-0.0109134568481555	0.00979391774340143	0.0141169785578256	0.0175345822507737	0.00232597168992811	-0.0162150059415315	0.00700480988231666	-0.0123311391887045
PIK3C2A_O00443	0.000469500752126708	0.0138479393905807	0.0131301270767741	0.00902864943663489	0.000968271038327091	0.00139369623015146	0.0178247425717016	-0.0068642613132776	-0.00849228266191987	-0.00464711479374425
GOLIM4_O00461	0.00207321155607315	-0.00852525702297204	-0.0127314094467883	0.00185877365542917	0.0151253635409069	0.00858199035075391	0.0156155736825129	0.0152722605830149	0.0159107182280785	-0.000251520579773962
BIN1_O00499	0.00177290230360702	-0.00218509713233322	-0.00129398904962444	-0.00770036265544977	-0.00895555280524418	-0.00211695547134223	0.00126290860543074	0.000413929608202874	-0.0132883423464066	0.000194364818471314
BIN1_O00499.1	0.00187057561323376	-0.00173796174014373	0.00135612617781172	-0.00406280145779495	-0.0153830273347022	-0.00520858170340952	-0.00578489756757794	0.00442203770240352	-0.00897032595248019	-0.00873700169326834
BIN1_O00499.2	3.73469524959401e-06	-0.0059234875341918	-0.00762934500093484	0.00438708427383348	0.000588315585138677	-0.00922725026917445	0.00225696452741039	-0.00992839167831424	-0.0079046108505813	-0.00600578816915422
