PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
Row.1_38503	0.0262673382035279	0.056191054658157	0.0469469407241201	0.0763339304609412	0.0359010135723649	0.00449555170880987	-0.0104114328459216	0.0307320210786066	-0.0404423494574886	-0.0501164133748075	0.0332648954909529	0.0565473775019767
Row.8_25268	-0.0327796484721607	-0.0157134012972374	0.0257084399236046	0.0209916300745961	-0.00886117821306807	-0.00632510922226274	0.0474372774847389	0.0545563268795028	-0.049977676124985	0.0458394494821465	0.0107916232787519	-0.124011399929964
Row.11_27012	0.0166913756011685	-0.0355364696409503	9.39095995578002e-05	0.000313440899546668	-0.0128698706655742	-0.0191493370603683	-0.0152684069065273	-0.0410347435706635	0.00388455832012566	0.00450193773841229	0.0348109324995129	0.110514567997013
Row.15_24727	0.0160451449102164	0.00280054970099291	-0.00868678033458851	0.0150953007761395	0.00626518149658458	0.00665845840243267	-0.0225216079053977	-0.000720320682212282	0.026953775162681	0.0324676498041275	0.0147097554755503	0.0482931755548537
Row.17_50630	-0.000136452873094545	-0.00430192236593038	0.0150157311292653	0.00556097099764583	0.00382230226299072	0.0216332962958228	-0.0160740288454714	0.00828569810403844	-0.00782500756869688	-0.0101710700851068	-0.0202144504668912	0.00334634396510749
Row.20_14227	0.00444873015769185	0.00965234146938589	-0.0198336285804536	0.071891307678527	-0.00120403631231378	-0.000888431168773601	-0.00622657094306189	-0.015434686539759	-0.0157612713789437	0.00680655123386051	0.0570552261844243	0.147754669816803
Row.21_33787	-0.0478909640128809	0.0417159555153142	0.0569693164245606	-0.0480043032050631	-0.0414056321689416	0.0551309592183625	-0.0170334719078179	-0.0645753959632311	-0.0180440935368815	-0.0174075186509954	-0.0548064915846989	0.0698261436316516
Row.22_11977	-0.0574101071507668	-0.0270998110445874	-0.03700689754472	0.0269518166796905	0.0124301458260454	-0.0385951488288625	0.0241845283960383	-0.0390895978166641	0.0219750135881288	-0.00625337500941344	0.00367403722655445	0.0907151623857001
Row.23_1286	0.0270620433352662	-0.030094902773683	-0.00207644846147824	0.0214315571980551	0.0311059567646527	-0.00349821199095613	-0.0184156945870629	0.0193126697688434	-0.0168400852274503	-0.0307002780566615	0.00510838901121706	-0.0434901125653675
Row.27_13902	-0.00801978137186575	0.00667067061261751	0.00400505669808976	0.0144911213440308	0.00894361715911871	0.00798208686691212	0.0282346170984604	-0.00212631817711445	-0.0209000381058909	-0.00535209407415979	0.000745254664729649	-0.10742974405558
