"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"326.099612461925","CPD-13557","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","LACTOSE","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","MALTOSE","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","C05402","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","C00089","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","C01083","M-NH3+H[1+]","0.00262444585496269"
"326.099612461925","C00051","M+H2O+H[1+]","0.00206998874500641"
"227.0676785276","C00475","M-NH3+H[1+]","0.00138151743001913"
"227.0676785276","C00299","M-H2O+H[1+]","0.00146593262999772"
"201.088303307832","CPD-13403","M-NH3+H[1+]","0.00127085556198381"
"201.088303307832","CPD0-1445","M-H2O+H[1+]","0.00135527076201925"
"201.088303307832","C00526","M-CO+H[1+]","0.00140533496198714"
"201.088303307832","C00299","M-CO2+H[1+]","0.00129071286198723"
"256.093984832208","4-P-PANTOTHENATE","M-CO2+H[1+]","0.000494704361983622"
"256.093984832208","PHOSPHORIBOSYL-CARBOXY-AMINOIMIDAZOLE","M-HCOOK+H[1+]","0.0012427915379476"
"290.085582307188","C00212","M+Na[1+]","0.000448091282009955"
"290.085582307188","CPD-12541","M+HCOONa[1+]","0.000968621118033752"
"290.085582307188","CPD-12557","M+HCOONa[1+]","0.000968621118033752"
"290.085582307188","CPD-3604","M+HCOONa[1+]","0.000968621118033752"
"290.085582307188","C00330","M+Na[1+]","0.000448091282009955"
"290.085582307188","C00140","M+HCOONa[1+]","0.000968621118033752"
"99.0419320618957","CPD-8891","M+Na[1+]","0.000226094125707732"
"99.0419320618957","PROPANE-1-2-DIOL","M+Na[1+]","0.000226094125707732"
"223.166763742538","DODECANOATE","M+Na[1+]","0.000142738832010991"
"399.127242488521","C00255","M+Na[1+]","0.00031837364895182"
"349.141122660422","CPD-12016","M-HCOOH+H[1+]","0.00163050025201983"
"236.088992626364","CPD-7650","M+HCOONa[1+]","0.000312507106031035"
"227.1613751027","CPD-10689","M+K[1+]","0.00149815527001351"
"477.366716655334","CPD-11398","M+2H[2+]","5.62705140509934e-05"
"477.366716655334","CPD-11401","M+2H[2+]","5.62705140509934e-05"
"268.152074723256","ACETYL-ETCETERA-L-ASPARAGINE","M-HCOONa+H[1+]","0.000666410013991481"
"335.13611513353","ACETYL-ETCETERA-L-ASPARAGINE","M[1+]","0.00325046702999998"
"347.183002408679","C02838","M+NaCl[1+]","0.000357514691017968"
"313.161900669919","CPD-7710","M(C13)+H[1+]","0.000919342450970362"
"567.264321557909","C00486","M-H2O+H[1+]","0.00416018213900315"
