Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	0.00101522842639594	0.0034148592524227	1	C02985,C00085,C00275,C00636,C01094,C02976,C05345,CE3075	1.8933242271633	0.713832828284453	8	15
FATTY ACID ACTIVATION	FATTY ACID ACTIVATION	0.00142131979695431	0.0043824027072758	1	C01530,C01607,C06425,OCDCEA,VACC,C00246,C06423,C06424	1.85286837615091	0.698579912732795	8	15
XENOBIOTICS METABOLISM	XENOBIOTICS METABOLISM	0.00167785234899329	0.00477542591636551	1	C07535,C02679,C14784,C14847,C14848,C14853,C14854,C14852,C06205,C06424,C00829	1.75630846876408	0.532582250319507	11	35
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	0.00228785357737105	0.00604647016876634	1	C00055,C00349,C00475,C00299,C00214,C00526,C00143,C00105,C00881,C00364,C00103,C00106,C02642,C00438,C00337,C00064,C05100,C00415,C01801,C00365,C00239	1.79919641197707	0.57448989125158	21	28
GALACTOSE METABOLISM	GALACTOSE METABOLISM	0.00252084545278263	0.00621808545019714	-1	C05402,C05400,C00243,C00089,C00140	-1.85047015925605	-0.638390357602742	5	22
BILE ACID BIOSYNTHESIS	BILE ACID BIOSYNTHESIS	0.0029492310933221	0.00682009690330735	1	C00695,C02528,C04483,C15517,C03594,C05451,C06340,C13550,C15519,C15610,CE1277,CE1278,CE1279,CE4874	1.72426977440849	0.520883014978479	14	36
TYROSINE METABOLISM	TYROSINE METABOLISM	0.00462453204140057	0.0100651579724601	1	C09640,CE4890,C00164,C05588,C05587,C07453,C01060,C02442,C09642,CE5629,C04148,C05590,C00601,C01031,C06199,C00268,CE5627,C03765,C07086	1.59715012668525	0.424145433239408	19	67
VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	0.00552599263200982	0.0113589848546869	1	C00164,C00349,C06002,C00704,C00233,C00671,C03465,C00141,C00042,C02170	1.74021056296799	0.605428086714339	10	20
VITAMIN A (RETINOL) METABOLISM	VITAMIN A (RETINOL) METABOLISM	0.00672975814931651	0.0131053185013006	1	C11061,CE5653,C00376,C02110,C16681,CE5575,CE5589,RETINAL-11-CIS,RETINAL-CIS-9,13-CIS-RETN,CE1617,CE2952,CE5594,C00473,C00899,CE1754,CE5590,RETINOL-CIS-11,RETINOL-CIS-13	1.68768235824531	0.532076614148429	19	30
PORPHYRIN METABOLISM	PORPHYRIN METABOLISM	0.0115990057995029	0.0214581607290804	1	C05791,C00931,C00023,C14818,C14819	1.64910532151928	0.553009961231254	5	23
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	0.0156641604010025	0.0275987588017663	1	C04874,C00055,C00756,C06124,C01120,C00670,C01996,C06459,C01177,C00116,C00114,C00836	1.56457695975813	0.480614228193329	12	33
METHIONINE AND CYSTEINE METABOLISM	METHIONINE AND CYSTEINE METABOLISM	0.0187343880099917	0.0315078343804405	1	C00109,C05844,C00491,C00542,C02291,C01817,C00101,C00212,C00440	1.58912788707961	0.511287853959949	9	27
BUTANOATE METABOLISM	BUTANOATE METABOLISM	0.0267292389308304	0.042639827904118	1	C00109,C00164,C00232,C00246,C06006,C00042,C06010,C03087,C02727,C00431,C01089,C05984	1.55588027982696	0.557362707848721	12	18
LYSINE METABOLISM	LYSINE METABOLISM	0.0276582667486171	0.042639827904118	1	C00449,C06157,C01259,C01211,C01181,C03793,C00318,C00042,C01149,C03239,C04076	1.55980998124436	0.550462235646056	11	19
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.124514374514375	0.184281274281274	-1	C06373,C00243,C01132,C00645,C00140	-1.31316335312289	-0.457684012803753	5	21
AMINOSUGARS METABOLISM	AMINOSUGARS METABOLISM	0.13197172034564	0.187805909722642	-1	C03410,C01132,C00645,C00140	-1.31597311513886	-0.483518441370015	4	17
DE NOVO FATTY ACID BIOSYNTHESIS	DE NOVO FATTY ACID BIOSYNTHESIS	0.187820381381997	0.248779785472608	1	C02679,C01530,C06425,C06424,C08281,C00219,C00712,C06426,C06427,C03242,C06428	1.24871135564976	0.46121871308942	11	16
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	0.188315724052206	0.248779785472608	1	C03406,C04281,C00555,C00042,C00179,C00148,C00763,C01157,C01165,C00064,C02946,C00147,C00019,C04188,C04582,C01137	1.22523652417321	0.40628453014574	16	24
UREA CYCLE/AMINO GROUP METABOLISM	UREA CYCLE/AMINO GROUP METABOLISM	0.194989561586639	0.248779785472608	1	C00143,C03406,C00555,C00101,C01449,C04692,C03711,C00437,C00750,C00179,C04441,C00148,C01165,C02946	1.20371698024708	0.375425549103899	14	31
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.257498469700061	0.317581445963409	1	C00085,C00092,C00103,C00668,C01172,C05345,C00469,C00900	1.15145134312662	0.412484203882623	8	18
PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	0.386558044806517	0.461375730898101	1	C06439,CE7109,CE7110,CE7088,CE7112,CE7113,CE7114,CE7115,C00051	1.04951573250456	0.381060440380961	9	17
PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	0.399220832478983	0.461599087553824	1	C00055,C00092,C01177,C03546,C03862,C04006,C00116	1.04137171355181	0.384636625108743	7	16
GLYCOSPHINGOLIPID METABOLISM	GLYCOSPHINGOLIPID METABOLISM	0.421203438395415	0.472258400625163	1	C00055,C01747,C06124,C01120,C00836,C00517	1.0183238697927	0.354280042463732	6	20
PURINE METABOLISM	PURINE METABOLISM	0.462099405104586	0.486620455735391	-1	C00122,C00144,C03838,C00044,C00242,C04751	-0.99366338713537	-0.332225394015847	6	25
ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	0.466680336272299	0.486620455735391	1	C00704,C00601,C00051,C02045,C05411,C05412,CE5985,C00818,C02477	0.990981068519169	0.366024550870333	9	16
VITAMIN E METABOLISM	VITAMIN E METABOLISM	0.473468551526327	0.486620455735391	1	CE1928,CE5723,CE5849,C00601,CE5846,CE5848	0.983283187335514	0.347003973613561	6	19
GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	0.60748843079512	0.60748843079512	1	C00109,C00143,C00101,C01419,C00576,C00114,C00546,C00051,C00430,C00258,C00719,C00188,C05519,C00019	0.914207910692105	0.273973281638546	14	37
