Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
D4&E4-NEUROPROSTANES FORMATION	D4&E4-NEUROPROSTANES FORMATION	0.0002040399918384	0.000834084761045987	1	CE6452,CE6453,CE6454,CE6455,CE6456,CE6457,CE6458,CE6459,CE6460,CE6461,CE6462,CE6463,CE6464,CE6465,CE6466,CE6467,C00704	2.56695784183359	0.919560837815229	17	18
LINOLEATE METABOLISM	LINOLEATE METABOLISM	0.000204876049989756	0.000834084761045987	1	C08261,C01601,CE2006,CE6506,C14762,C14825,C14826,CE5528,C04717,C14827,C14765,CE5526,CE5527	2.20563005864051	0.778374332570191	13	19
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450	0.000210349179638199	0.000834084761045987	1	C16582,C16584,C07073,C16660,C16577,C16608,C01516,C16576,C16548,C16662,C16560,C06174,C07572,C07501,C16561,C16586,C08012,C16609,C07496,C16601,C16602,C07108,C07163,C16578,C16643,C16604,C16659,C16587,C16595,C06868,C16661	2.05290521740167	0.615222393862935	31	37
ASPARTATE AND ASPARAGINE METABOLISM	ASPARTATE AND ASPARAGINE METABOLISM	0.000213995292103574	0.000834084761045987	1	C04540,C00109,C00232,C01239,C01879,C02238,C04281,C04282,C00555,C00669,C03413,C03415,C01419,C03078,C00437,CE1936,C05829,CE1938,C02567,C00750,C00051,C00152,C00148,C01157,C01165,C03440,CE1944,CE4788,C00064,C02946	2.02642610718287	0.582815073571913	30	45
LEUKOTRIENE METABOLISM	LEUKOTRIENE METABOLISM	0.000214592274678112	0.000834084761045987	1	CE2054,CE5976,CE2056,CE5945,CE5140,CE3554,CE2445,CE2446,CE5179,CE5343,CE5944,CE6246,CE6474,C04853,C03577,C05951,CE5947,CE6185,C02165,C05356,C00909,CE4987,CE4988,CE5350,CE5352,CE4989,CE5525,CE2053,CE5138,CE5946,C00051	2.20158622072459	0.62997709673477	31	46
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	0.000215100021510002	0.000834084761045987	1	CE2449,CE5815,CE6246,CE6251,CE7096,CE7172,C14772,C14773,C14774,C14775,C00639,C04741,C04843,C14782,C14814,C00427,C00584,C00696,C01312,C02198,C04654,C06314,C06315,C05951,C00116,C02165,C04849,C05356,C05965,C05966,C14781,C14813,C00909,CE5663,CE5661,C00051,C00219,C04742,C04805,C14748,C14749,C14768,C14769,C14770,C14771,C14778,C14779	2.24108550555029	0.618578993840557	47	55
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	0.000215146299483649	0.000834084761045987	1	C02406,C02700,C15605,CE3087,C00078,C00525,C06213,C00328,C05647,C03227,C05651,CE3140,C05648,C00780,C05640,C00704,C06212,CE6205,CE1395,CE1918,C00978,C05642,C00268,C00643	2.39131321703944	0.668107321086071	24	52
PROSTAGLANDIN FORMATION FROM ARACHIDONATE	PROSTAGLANDIN FORMATION FROM ARACHIDONATE	0.000218340611353712	0.000834084761045987	1	C13856,C05963,C05956,C05962,CE1447,CE5533,CE5534,CE5926,CE5930,CE0955,C05953,C05954,C05955,C05957,CE5535,CE5537,CE5925,CE5928,CE6240,C00639,C04741,C05959,CE3481,CE5708,C00427,C00584,C00696,C01312,C02198,C00704,CE4980,CE1243,CE4878,C00959,C04685,C04686,CE5828,CE5924,CE5929,CE5931	2.24561553929527	0.610239336975518	40	60
ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	0.000219298245614035	0.000834084761045987	1	C00280,CE5251,CE5252,CE5255,CE5256,C03170,C04555,C05504,C05298,C05300,CE2180,CE5249,CE5250,CE5253,CE5254,C18038,C00951,C00704,C05139,C05294,C14497,C18045,C18075,CE1356,CE1358,C05141,C05301,CE2179,C00468,C05503,C00523,C03917,C04295,C04373,C05293,C00535,C00674,C01227,C03772,C11131,C05285,C05299,CE2184,CE2189,C00051	2.60744586277502	0.689993022349468	45	68
C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	0.000225428313796213	0.000834084761045987	1	C00280,ANDRSTNDN,C04555,C05504,CE1343,C04518,C05138,C05485,C00951,C05470,C05471,C05474,C05489,C02140,C05477,C05488,C05497,CE1347,C05490,CE1349,C00735,C01124,C05469,C05473,C05139,17AHPRGSTRN,C01176,C03205,C03748,C05498,CE1353,CE5888,C05141,HESTRATRIOL,C00468,C00762,C01780,C05472,C05500,C05502,C13550,C15519,C15610,ESTRADIOLGLC,C05480,C00523,C03917,C04373,C00535,C01227,C03772,DHEA	2.62069848415661	0.672169924687176	52	82
