Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
GLYCOLYSIS AND GLUCONEOGENESIS	GLYCOLYSIS AND GLUCONEOGENESIS	0.263366750208855	0.326938034742027	1	C00085,C00092,C00103,C00668,C01172,C05345,C00469,C00900	1.14915821383463	0.412484203882624	8	18
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.126425855513308	0.182053231939163	-1	C06373,C00243,C01132,C00645,C00140	-1.30874929380744	-0.457684012803751	5	21
PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	PUTATIVE ANTI-INFLAMMATORY METABOLITES FORMATION FROM EPA	0.384663471556574	0.461596165867889	1	C06439,CE7109,CE7110,CE7088,CE7112,CE7113,CE7114,CE7115,C00051	1.04527234369381	0.381060440380963	9	17
LINOLEATE METABOLISM	LINOLEATE METABOLISM	0.000632911392405063	0.00227848101265823	1	C08261,C01601,CE2006,CE6506,C14762,C14825,C14826,CE5528,C04717,C14827,C14765,CE5526,CE5527	2.19394313092808	0.778374332570191	13	19
GALACTOSE METABOLISM	GALACTOSE METABOLISM	0.00152613506295307	0.00499462384239187	-1	C05402,C05400,C00243,C00089,C00140	-1.84400152347905	-0.638390357602739	5	22
BILE ACID BIOSYNTHESIS	BILE ACID BIOSYNTHESIS	0.00301399354144241	0.0077502691065662	1	C00695,C02528,C04483,C15517,C03594,C05451,C06340,C13550,C15519,C15610,CE1277,CE1278,CE1279,CE4874	1.72233192193945	0.520883014978476	14	36
VITAMIN E METABOLISM	VITAMIN E METABOLISM	0.484810126582278	0.498661844484629	1	CE1928,CE5723,CE5849,C00601,CE5846,CE5848	0.978073084450753	0.347003973613561	6	19
ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	ANDROGEN AND ESTROGEN BIOSYNTHESIS AND METABOLISM	0.000224114746750336	0.000907441016333938	1	C00280,CE5251,CE5252,CE5255,CE5256,C03170,C04555,C05504,C05298,C05300,CE2180,CE5249,CE5250,CE5253,CE5254,C18038,C00951,C00704,C05139,C05294,C14497,C18045,C18075,CE1356,CE1358,C05141,C05301,CE2179,C00468,C05503,C00523,C03917,C04295,C04373,C05293,C00535,C00674,C01227,C03772,C11131,C05285,C05299,CE2184,CE2189,C00051	2.60293904941734	0.689993022349467	45	68
GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	0.616583676120372	0.616583676120372	1	C00109,C00143,C00101,C01419,C00576,C00114,C00546,C00051,C00430,C00258,C00719,C00188,C05519,C00019	0.91068264583424	0.273973281638546	14	37
DRUG METABOLISM - CYTOCHROME P450	DRUG METABOLISM - CYTOCHROME P450	0.000216497077289457	0.000907441016333938	1	C16582,C16584,C07073,C16660,C16577,C16608,C01516,C16576,C16548,C16662,C16560,C06174,C07572,C07501,C16561,C16586,C08012,C16609,C07496,C16601,C16602,C07108,C07163,C16578,C16643,C16604,C16659,C16587,C16595,C06868,C16661	2.04498903713809	0.615222393862936	31	37
