Term	Description	p.Val	FDR	Phenotype	Genes	NES	ES	Gene_Hits	Gene_Total
TRYPTOPHAN METABOLISM	TRYPTOPHAN METABOLISM	0.000221141088014153	0.000907441016333938	1	C02406,C02700,C15605,CE3087,C00078,C00525,C06213,C00328,C05647,C03227,C05651,CE3140,C05648,C00780,C05640,C00704,C06212,CE6205,CE1395,CE1918,C00978,C05642,C00268,C00643	2.40405955859125	0.676614476786686	24	51
UREA CYCLE/AMINO GROUP METABOLISM	UREA CYCLE/AMINO GROUP METABOLISM	0.192192832764505	0.247105070697221	1	C00143,C03406,C00555,C00101,C01449,C04692,C03711,C00437,C00750,C00179,C04441,C00148,C01165,C02946	1.19885725964481	0.3754255491039	14	31
DE NOVO FATTY ACID BIOSYNTHESIS	DE NOVO FATTY ACID BIOSYNTHESIS	0.185362802335279	0.247105070697221	1	C02679,C01530,C06425,C06424,C08281,C00219,C00712,C06426,C06427,C03242,C06428	1.24390474159599	0.461218713089421	11	16
VITAMIN A (RETINOL) METABOLISM	VITAMIN A (RETINOL) METABOLISM	0.0471137521222411	0.0737432641913339	1	C11061,CE5653,C00376,C02110,C16681,CE5575,CE5589,CE1617,CE2952,CE5594,C00473,C00899,CE1754,CE5590,CE2961,CE5016,C02075,CE5013,CE5932	1.46323487249764	0.482056943802776	19	25
VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	VALINE, LEUCINE AND ISOLEUCINE DEGRADATION	0.00675105485232068	0.0142963514519732	1	C00164,C00349,C06002,C00704,C00233,C00671,C03465,C00141,C00042,C02170	1.73421582463223	0.60542808671434	10	20
FRUCTOSE AND MANNOSE METABOLISM	FRUCTOSE AND MANNOSE METABOLISM	0.0020703933747412	0.00573339703774486	1	C02985,C00085,C00275,C00636,C01094,C02976,C05345,CE3075	1.89015627511643	0.713832828284453	8	15
XENOBIOTICS METABOLISM	XENOBIOTICS METABOLISM	0.00195439739413681	0.00573339703774486	1	C07535,C02679,C14784,C14847,C14848,C14853,C14854,C14852,C06205,C06424,C00829	1.74607806889162	0.532582250319508	11	35
BUTANOATE METABOLISM	BUTANOATE METABOLISM	0.0309106098579783	0.050580997949419	1	C00109,C00164,C00232,C00246,C06006,C00042,C06010,C03087,C02727,C00431,C01089,C05984	1.55278172541058	0.557362707848722	12	18
ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	ASCORBATE (VITAMIN C) AND ALDARATE METABOLISM	0.470600414078675	0.498661844484629	1	C00704,C00601,C00051,C02045,C05411,C05412,CE5985,C00818,C02477	0.985805055219944	0.372297264500745	9	15
D4&E4-NEUROPROSTANES FORMATION	D4&E4-NEUROPROSTANES FORMATION	0.000208855472013367	0.000907441016333938	1	CE6452,CE6453,CE6454,CE6455,CE6456,CE6457,CE6458,CE6459,CE6460,CE6461,CE6462,CE6463,CE6464,CE6465,CE6466,CE6467,C00704	2.56184571421001	0.919560837815229	17	18
PURINE METABOLISM	PURINE METABOLISM	0.47523629489603	0.498661844484629	-1	C00122,C00144,C03838,C00044,C00242,C04751	-0.987689480089492	-0.332225394015848	6	25
ARACHIDONIC ACID METABOLISM	ARACHIDONIC ACID METABOLISM	0.00021953896816685	0.000907441016333938	1	CE2449,CE5815,CE6246,CE6251,CE7096,CE7172,C14772,C14773,C14774,C14775,C00639,C04741,C04843,C14782,C14814,C00427,C00584,C00696,C01312,C02198,C04654,C06314,C06315,C05951,C00116,C02165,C04849,C05356,C05965,C05966,C14781,C14813,C00909,CE5663,CE5661,C00051,C00219,C04742,C04805,C14748,C14749,C14768,C14769,C14770,C14771,C14778,C14779	2.24332997782898	0.618578993840559	47	55
GLYCOSPHINGOLIPID METABOLISM	GLYCOSPHINGOLIPID METABOLISM	0.432067510548523	0.486075949367089	1	C00055,C01747,C06124,C01120,C00836,C00517	1.01481591203726	0.354280042463733	6	20
ARGININE AND PROLINE METABOLISM	ARGININE AND PROLINE METABOLISM	0.189951240195039	0.247105070697221	1	C03406,C04281,C00555,C00042,C00179,C00148,C00763,C01157,C01165,C00064,C02946,C00147,C00019,C04188,C04582,C01137	1.21966198390974	0.406284530145739	16	24
GLYCEROPHOSPHOLIPID METABOLISM	GLYCEROPHOSPHOLIPID METABOLISM	0.0191397849462366	0.0353770561845759	1	C04874,C00055,C00756,C06124,C01120,C00670,C01996,C06459,C01177,C00116,C00114,C00836	1.55559682043725	0.480614228193331	12	33
PORPHYRIN METABOLISM	PORPHYRIN METABOLISM	0.0109243697478992	0.0218487394957983	1	C05791,C00931,C00023,C14818,C14819	1.6907438190417	0.574278774274856	5	22
PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	PHOSPHATIDYLINOSITOL PHOSPHATE METABOLISM	0.398040033361134	0.462240038741962	1	C00055,C00092,C01177,C03546,C03862,C04006,C00116	1.03736320358598	0.384636625108744	7	16
PROSTAGLANDIN FORMATION FROM ARACHIDONATE	PROSTAGLANDIN FORMATION FROM ARACHIDONATE	0.000220264317180617	0.000907441016333938	1	C13856,C05963,C05956,C05962,CE1447,CE5533,CE5534,CE5926,CE5930,CE0955,C05953,C05954,C05955,C05957,CE5535,CE5537,CE5925,CE5928,CE6240,C00639,C04741,C05959,CE3481,CE5708,C00427,C00584,C00696,C01312,C02198,C00704,CE4980,CE1243,CE4878,C00959,C04685,C04686,CE5828,CE5924,CE5929,CE5931	2.2486165497357	0.610239336975518	40	60
LEUKOTRIENE METABOLISM	LEUKOTRIENE METABOLISM	0.000219683655536028	0.000907441016333938	1	CE2054,CE5976,CE2056,CE5945,CE5140,CE3554,CE2445,CE2446,CE5179,CE5343,CE5944,CE6246,CE6474,C04853,C03577,C05951,CE5947,CE6185,C02165,C05356,C00909,CE4987,CE4988,CE5350,CE5352,CE4989,CE5525,CE2053,CE5138,CE5946,C00051	2.19480218459173	0.629977096734771	31	46
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	0.0034349506225848	0.00824388149420352	1	C00055,C00349,C00475,C00299,C00214,C00526,C00143,C00105,C00881,C00364,C00103,C00106,C02642,C00438,C00337,C00064,C05100,C00415,C01801,C00365,C00239	1.78770643099287	0.57448989125158	21	28
ASPARTATE AND ASPARAGINE METABOLISM	ASPARTATE AND ASPARAGINE METABOLISM	0.000219731927049	0.000907441016333938	1	C04540,C00109,C00232,C01239,C01879,C02238,C04281,C04282,C00555,C00669,C03413,C03415,C01419,C03078,C00437,CE1936,C05829,CE1938,C02567,C00750,C00051,C00152,C00148,C01157,C01165,C03440,CE1944,CE4788,C00064,C02946	2.01876336887769	0.582815073571913	30	45
AMINOSUGARS METABOLISM	AMINOSUGARS METABOLISM	0.0862466384940453	0.129369957741068	-1	C03410,C01132,C00645,C00140	-1.40027065816259	-0.523902151684627	4	16
TYROSINE METABOLISM	TYROSINE METABOLISM	0.00400534045393859	0.00901201602136182	1	C09640,CE4890,C00164,C05588,C05587,C07453,C01060,C02442,C09642,CE5629,C04148,C05590,C00601,C01031,C06199,C00268,CE5627,C03765,C07086	1.61999800969162	0.431784356992628	19	66
C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	C21-STEROID HORMONE BIOSYNTHESIS AND METABOLISM	0.000226860254083485	0.000907441016333938	1	C00280,C04555,C05504,CE1343,C04518,C05138,C05485,C00951,C05470,C05471,C05474,C05489,C02140,C05477,C05488,C05497,CE1347,C05490,CE1349,C00735,C01124,C05469,C05473,C05139,C01176,C03205,C03748,C05498,CE1353,CE5888,C05141,C00468,C00762,C01780,C05472,C05500,C05502,C13550,C15519,C15610,C05480,C00523,C03917,C04373,C00535,C01227,C03772	2.59601595769234	0.681650829502954	47	72
METHIONINE AND CYSTEINE METABOLISM	METHIONINE AND CYSTEINE METABOLISM	0.0196539201025422	0.0353770561845759	1	C00109,C05844,C00491,C00542,C02291,C01817,C00101,C00212,C00440	1.57814113991736	0.51128785395995	9	27
LYSINE METABOLISM	LYSINE METABOLISM	0.0305907172995781	0.050580997949419	1	C00449,C06157,C01259,C01211,C01181,C03793,C00318,C00042,C01149,C03239,C04076	1.55154504741081	0.550462235646055	11	19
