feature_identifier	mz	rtime	p-value	t-score	DataSet	Type	Display_Name
Row.248_31049	542.753213478784	819.49504848895	2.18204295053954e-07	-9.48599771442179	Met_Pos	mz	mz542.7532
Row.1061_.	544.903267001543	774.085489899465	6.4815766402849e-07	-8.65264915081134	Met_Pos	mz	mz544.9033
Row.231_19908	267.167558310987	689.904301294671	5.60864518074864e-06	-7.153872116585	Met_Pos	mz	mz267.1676
Row.1554_30180	500.264379241386	809.025968833499	1.66500142567095e-05	-6.46478025095073	Met_Pos	mz	mz500.2644
Row.653_42943	528.24858871143	942.790685222003	2.60882268320557e-05	-6.19169673129938	Met_Pos	mz	mz528.2486
Row.1715_.	442.821127899762	54.0818800644035	5.647738544412e-05	-5.73601830147634	Met_Pos	mz	mz442.8211
Row.706_132469	379.281976845157	2236.72920158007	5.71283074823448e-05	5.72938309991005	Met_Pos	mz	mz379.282
Row.1947_.	610.763080157701	980.142549428377	6.07120001184881e-05	-5.69421382453732	Met_Pos	mz	mz610.7631
Row.1272_76054	223.130109857157	1306.9252054177	0.000127938290035784	-5.27104779007752	Met_Pos	mz	mz223.1301
Row.900_30505	534.763832549776	812.74673816987	0.000161007926430674	-5.14324214365694	Met_Pos	mz	mz534.7638
Row.940_79023	251.125057762188	1337.68602286516	0.000178599888991204	-5.08598881300516	Met_Pos	mz	mz251.1251
Row.1115_.	344.844026544724	46.0046654949508	0.000192920789340373	-5.04355505538454	Met_Pos	mz	mz344.844
Row.897_143598	244.205998514352	2533.61827941744	0.000195075830517916	5.03745428341534	Met_Pos	mz	mz244.206
Row.1321_4036	302.828947716238	57.780512342672	0.000226003474465357	-4.95688280040034	Met_Pos	mz	mz302.8289
Row.1007_26471	301.151879086208	768.423547557872	0.000235895087270567	-4.93351512926623	Met_Pos	mz	mz301.1519
Row.509_.	342.847164257649	45.3333490053744	0.000246009863184266	-4.91064919356158	Met_Pos	mz	mz342.8472
Row.1948_110712	571.267623064365	1821.33739556446	0.000250082543575898	4.90171654807665	Met_Pos	mz	mz571.2676
