feature_identifier	mz	rtime	p-value	t-score	DataSet	Type	Display_Name
Row.603_.	733.814263655255	989.833466347304	0.00135936839463876	-3.91606946634109	Met_Neg	mz	mz733.8143
Row.554_.	600.261113625994	954.083773648016	0.00143564608448596	-3.88939356420042	Met_Neg	mz	mz600.2611
Row.1479_.	483.507416459089	682.331843578962	0.00146982020641688	3.87790423658154	Met_Neg	mz	mz483.5074
Row.1288_43629	199.098566572973	1363.14505916994	0.00152856480954744	-3.85877175696114	Met_Neg	mz	mz199.0986
Row.8_25268	325.149031393873	1063.89587322205	0.00211705559935245	3.70005325987896	Met_Neg	mz	mz325.149
Row.876_19913	547.207940238134	893.613191232016	0.00256095472257945	-3.60747137728664	Met_Neg	mz	mz547.2079
Row.1435_.	707.79763747382	977.098838228868	0.0028962229809675	-3.54767850463679	Met_Neg	mz	mz707.7976
Row.1294_.	856.843135053666	1105.17396773586	0.00298808512080866	-3.53250610443569	Met_Neg	mz	mz856.8431
Row.1495_.	582.585443236665	939.926079944228	0.00299321631837474	-3.53167245162128	Met_Neg	mz	mz582.5854
Row.1249_26331	830.329646829179	1083.90124819087	0.00305021539901909	-3.52250707139248	Met_Neg	mz	mz830.3296
Row.1341_.	455.82842669308	660.304496476586	0.00332821239710261	3.48013077906383	Met_Neg	mz	mz455.8284
Row.303_.	740.821886875198	977.014962983944	0.00379256228481805	-3.41667829354069	Met_Neg	mz	mz740.8219
Row.649_.	473.502937783664	593.87754206349	0.00405017859529992	3.38474574513811	Met_Neg	mz	mz473.5029
Row.1282_27621	955.396111244144	1105.26089133018	0.0046680370709566	-3.31573636723743	Met_Neg	mz	mz955.3961
Row.1157_.	196.92901826607	61.8841789430298	0.00476013184652901	-3.30623690719263	Met_Neg	mz	mz196.929
Row.143_.	462.814970743655	664.228495981102	0.00515674532373406	3.26731171123952	Met_Neg	mz	mz462.815
Row.487_18954	702.268184686013	856.536802919561	0.00596386936180284	3.19652561543437	Met_Neg	mz	mz702.2682
Row.1191_.	582.91951609758	944.363345195148	0.00600149744257713	-3.19346186549561	Met_Neg	mz	mz582.9195
Row.317_31523	169.159577135173	1171.10912156188	0.00611356373769687	-3.1844486141199	Met_Neg	mz	mz169.1596
Row.64_32415	339.164824415661	1185.43928329394	0.0062153085903328	3.17640600904714	Met_Neg	mz	mz339.1648
Row.336_.	435.482106480312	697.962712787713	0.00631633667489908	3.16854792996419	Met_Neg	mz	mz435.4821
Row.365_.	754.652177941314	998.704353845484	0.00648797626482288	-3.15547831698485	Met_Neg	mz	mz754.6522
Row.719_.	830.830849406183	1088.59156566044	0.0066294209181112	-3.14496229970599	Met_Neg	mz	mz830.8308
Row.977_22794	734.312168276673	995.983236212661	0.00720045290903146	-3.10464760429481	Met_Neg	mz	mz734.3122
Row.650_63856	231.139346748283	1858.68170556549	0.00729911898715369	3.09800302234487	Met_Neg	mz	mz231.1393
Row.677_29669	337.170340191707	1137.65351999452	0.00752300460276029	3.08324832763999	Met_Neg	mz	mz337.1703
Row.1377_.	508.854064792877	636.815922685721	0.00773418708096728	3.06972216195614	Met_Neg	mz	mz508.8541
Row.1063_.	458.52208609225	784.802031744469	0.00801179201775406	-3.05248469634679	Met_Neg	mz	mz458.5221
Row.699_.	393.479416022144	668.864725793483	0.00802341739447339	3.05177572627952	Met_Neg	mz	mz393.4794
Row.1278_.	680.785207020206	946.822750066621	0.00805197264233434	-3.05003857523649	Met_Neg	mz	mz680.7852
Row.1082_.	648.263421276004	1014.57463944627	0.0080941285485838	-3.04748508080637	Met_Neg	mz	mz648.2634
Row.1373_.	402.795250278407	54.0312500705718	0.00815685488215262	3.04370969932745	Met_Neg	mz	mz402.7953
Row.587_42598	217.181252910928	1347.28543926722	0.00915667132826726	-2.98710357337189	Met_Neg	mz	mz217.1813
Row.846_.	694.290391611643	958.183014081765	0.00929369759001662	-2.9798230218994	Met_Neg	mz	mz694.2904
Row.847_.	558.770488421465	65.918947110866	0.0094925336554641	-2.96944344345139	Met_Neg	mz	mz558.7705
Row.203_.	208.934869507397	57.570204459554	0.00973676311944752	-2.956982086519	Met_Neg	mz	mz208.9349
Row.52_21483	673.283428574519	952.042976859066	0.00978393302746331	-2.95461065860088	Met_Neg	mz	mz673.2834
Row.784_.	478.508244716873	623.436037638941	0.00992913470086195	2.94738043801674	Met_Neg	mz	mz478.5082
Row.463_22650	767.335702449834	990.473194601406	0.00996176243199465	-2.9457700152106	Met_Neg	mz	mz767.3357
Row.828_29597	239.16587332598	1136.58393470575	0.0100488327214892	-2.94149759458536	Met_Neg	mz	mz239.1659
Row.1303_.	901.872274534905	1095.43148565649	0.0100792505506151	-2.94001357101974	Met_Neg	mz	mz901.8723
