Metabolite	feature_identifier	Edge_Type	Display_Name
HMDB0036479	Row.248_31049	mz_met	mz542.7532
HMDB0001035	Row.248_31049	mz_met	mz542.7532
HMDB0000036	Row.231_19908	mz_met	mz267.1676
HMDB0000889	Row.231_19908	mz_met	mz267.1676
HMDB0000922	Row.231_19908	mz_met	mz267.1676
HMDB0000932	Row.231_19908	mz_met	mz267.1676
HMDB0011637	Row.231_19908	mz_met	mz267.1676
HMDB0028910	Row.231_19908	mz_met	mz267.1676
HMDB0028911	Row.231_19908	mz_met	mz267.1676
HMDB0028932	Row.231_19908	mz_met	mz267.1676
HMDB0028933	Row.231_19908	mz_met	mz267.1676
HMDB0014634	Row.231_19908	mz_met	mz267.1676
HMDB0029991	Row.1554_30180	mz_met	mz500.2644
HMDB0034760	Row.1554_30180	mz_met	mz500.2644
HMDB0134762	Row.1554_30180	mz_met	mz500.2644
HMDB0134763	Row.1554_30180	mz_met	mz500.2644
HMDB0134764	Row.1554_30180	mz_met	mz500.2644
HMDB0134765	Row.1554_30180	mz_met	mz500.2644
HMDB0134766	Row.1554_30180	mz_met	mz500.2644
HMDB0134767	Row.1554_30180	mz_met	mz500.2644
HMDB0134768	Row.1554_30180	mz_met	mz500.2644
HMDB0134769	Row.1554_30180	mz_met	mz500.2644
HMDB0134770	Row.1554_30180	mz_met	mz500.2644
HMDB0134771	Row.1554_30180	mz_met	mz500.2644
HMDB0134772	Row.1554_30180	mz_met	mz500.2644
HMDB0134773	Row.1554_30180	mz_met	mz500.2644
HMDB0134774	Row.1554_30180	mz_met	mz500.2644
HMDB0134776	Row.1554_30180	mz_met	mz500.2644
HMDB0032421	Row.1554_30180	mz_met	mz500.2644
HMDB0000027	Row.1554_30180	mz_met	mz500.2644
HMDB0000787	Row.1554_30180	mz_met	mz500.2644
HMDB0059658	Row.1554_30180	mz_met	mz500.2644
HMDB0035890	Row.1554_30180	mz_met	mz500.2644
HMDB0014515	Row.1554_30180	mz_met	mz500.2644
HMDB0028916	Row.1554_30180	mz_met	mz500.2644
HMDB0028938	Row.1554_30180	mz_met	mz500.2644
HMDB0029042	Row.1554_30180	mz_met	mz500.2644
HMDB0029043	Row.1554_30180	mz_met	mz500.2644
HMDB0029074	Row.1554_30180	mz_met	mz500.2644
HMDB0029137	Row.1554_30180	mz_met	mz500.2644
HMDB0033675	Row.1554_30180	mz_met	mz500.2644
HMDB0041313	Row.1554_30180	mz_met	mz500.2644
HMDB0039111	Row.653_42943	mz_met	mz528.2486
HMDB0029220	Row.706_132469	mz_met	mz379.282
HMDB0011536	Row.706_132469	mz_met	mz379.282
HMDB0011537	Row.706_132469	mz_met	mz379.282
HMDB0011566	Row.706_132469	mz_met	mz379.282
HMDB0011567	Row.706_132469	mz_met	mz379.282
HMDB0033372	Row.706_132469	mz_met	mz379.282
HMDB0034031	Row.706_132469	mz_met	mz379.282
HMDB0094684	Row.706_132469	mz_met	mz379.282
HMDB0040334	Row.1272_76054	mz_met	mz223.1301
HMDB0040335	Row.1272_76054	mz_met	mz223.1301
HMDB0040336	Row.1272_76054	mz_met	mz223.1301
HMDB0040337	Row.1272_76054	mz_met	mz223.1301
HMDB0032662	Row.1272_76054	mz_met	mz223.1301
HMDB0036029	Row.1272_76054	mz_met	mz223.1301
HMDB0037179	Row.1272_76054	mz_met	mz223.1301
HMDB0002249	Row.1272_76054	mz_met	mz223.1301
HMDB0012234	Row.1272_76054	mz_met	mz223.1301
HMDB0001035	Row.900_30505	mz_met	mz534.7638
HMDB0035923	Row.940_79023	mz_met	mz251.1251
HMDB0000933	Row.940_79023	mz_met	mz251.1251
HMDB0030994	Row.940_79023	mz_met	mz251.1251
HMDB0029873	Row.940_79023	mz_met	mz251.1251
HMDB0060362	Row.940_79023	mz_met	mz251.1251
HMDB0002894	Row.940_79023	mz_met	mz251.1251
HMDB0004339	Row.940_79023	mz_met	mz251.1251
HMDB0011601	Row.940_79023	mz_met	mz251.1251
HMDB0000453	Row.940_79023	mz_met	mz251.1251
HMDB0003843	Row.940_79023	mz_met	mz251.1251
HMDB0010719	Row.940_79023	mz_met	mz251.1251
HMDB0029487	Row.940_79023	mz_met	mz251.1251
HMDB0031158	Row.940_79023	mz_met	mz251.1251
HMDB0031491	Row.940_79023	mz_met	mz251.1251
HMDB0031492	Row.940_79023	mz_met	mz251.1251
HMDB0031501	Row.940_79023	mz_met	mz251.1251
HMDB0031559	Row.940_79023	mz_met	mz251.1251
HMDB0031560	Row.940_79023	mz_met	mz251.1251
HMDB0031561	Row.940_79023	mz_met	mz251.1251
