GeneName	pValue	rank	DataSet
PGRMC2	2.04014488480961e-10	-6.02923498185076	Phospho
RPTOR	4.84822659522078e-10	-6.02923498185076	Phospho
GDF15	8.89047357283772e-10	-5.89083173269514	Phospho
CENPE	4.62071987736922e-09	-5.35113824608211	Phospho
GPR112	7.46844354925188e-09	-5.29715904817937	Phospho
SLC2A1	7.84838136583828e-09	-5.29715904817937	Phospho
HSPB1	1.64213896621839e-08	-5.022286730148	Phospho
HNRNPA2B1	1.85874270127083e-08	5.00987004568222	Phospho
NCOA4	2.43014027471756e-08	-4.93124653970578	Phospho
ARHGEF28	4.3048260818316e-08	-4.74986906206574	Phospho
TOR1AIP1	5.83418722869129e-08	4.64840987068903	Phospho
GYS1	6.21450796069253e-08	-4.64840987068903	Phospho
DVL1	8.48205451567593e-08	4.53964449866982	Phospho
PRRC2C	9.53034294865711e-08	-4.51386061284253	Phospho
ABL2	1.35314521455842e-07	-4.38510583168289	Phospho
BCL7C	1.82638572681435e-07	4.3185268130459	Phospho
POC5	2.37426730952467e-07	-4.2423782655255	Phospho
PRKAG2	3.53858674972284e-07	-4.08680679842756	Phospho
PDCD4	3.84353911503905e-07	-4.06793867951474	Phospho
MARK2	4.79857704499817e-07	-3.98794792872967	Phospho
LMNB2	5.43034879067959e-07	3.97297502009946	Phospho
VIM	6.2772541460977e-07	3.94183491213693	Phospho
HUWE1	6.32428893152374e-07	-3.94183491213693	Phospho
C11orf68	6.73954253476752e-07	-3.93908663460762	Phospho
NCAPH	6.76221413430163e-07	3.93908663460762	Phospho
PNPLA6	7.69072968148914e-07	3.89579713428961	Phospho
GPR116	8.79610596043473e-07	3.86160790842211	Phospho
SLC4A2	9.29274428417129e-07	-3.849336246841	Phospho
CAMSAP2	1.04151250522337e-06	-3.81733404965626	Phospho
KPNA2	1.06281266441919e-06	3.81733404965626	Phospho
NDRG1	1.07931060360746e-06	-3.81733404965626	Phospho
IRS2	1.21357949567914e-06	-3.7797394998427	Phospho
CTTN	1.23431382241526e-06	-3.7797394998427	Phospho
RSF1	1.27413202482138e-06	3.77593488152511	Phospho
NOP16	1.33240927360587e-06	-3.76627150375616	Phospho
AHNAK	1.5247466253009e-06	3.71725678758054	Phospho
STARD3NL	1.61528682672178e-06	-3.70367035112583	Phospho
ASAP1	1.64160067861086e-06	-3.70367035112583	Phospho
ARHGEF2	1.71807511885675e-06	-3.69285056830969	Phospho
PCM1	2.10257224407337e-06	3.64665975435551	Phospho
MAVS	2.1448630709784e-06	3.64665975435551	Phospho
MOCOS	2.46454698132869e-06	3.59414756225129	Phospho
USP24	2.5090379680826e-06	-3.59406425904779	Phospho
EPHA2	2.81400871938896e-06	-3.55808704034211	Phospho
DENND4C	2.82138015975054e-06	-3.55808704034211	Phospho
STIM1	2.92588011776626e-06	-3.54959135931178	Phospho
BAD	3.32779790892532e-06	-3.51186735479833	Phospho
FLNC	3.35096453401391e-06	-3.51186735479833	Phospho
SRRM2	3.43496101597226e-06	-3.50795479816349	Phospho
SCRIB	4.0870982597779e-06	-3.45047092280195	Phospho
TMEM131	4.10488048125738e-06	-3.45047092280195	Phospho
PARD3	4.31069126500023e-06	3.43751174240286	Phospho
ADNP	4.35545955330801e-06	3.43751174240286	Phospho
DOCK5	4.44740192729117e-06	-3.43468829679029	Phospho
KIAA1429	4.60291421315223e-06	3.43464461285626	Phospho
CENPC	4.63847140873853e-06	3.43464461285626	Phospho
MAP2K2	5.13058010522552e-06	-3.39954154960966	Phospho
WNK1	5.21515294864717e-06	-3.39954154960966	Phospho
OSBPL3	5.23562676729504e-06	-3.39954154960966	Phospho
AHNAK2	5.34852242762853e-06	-3.39595354064049	Phospho
RCSD1	5.65501471847999e-06	-3.37955059241631	Phospho
TP53BP2	5.6986651071572e-06	-3.37955059241631	Phospho
EIF4EBP1	5.77546821504144e-06	-3.37919942562205	Phospho
SVIL	6.06460163265633e-06	3.37032901318782	Phospho
SMYD5	6.10627688735609e-06	3.37032901318782	Phospho
CTNND1	6.11569355824786e-06	3.37032901318782	Phospho
INCENP	6.4676325406533e-06	3.35637022498622	Phospho
ARFGAP1	6.58879400105643e-06	-3.3533891584327	Phospho
PPP1R18	6.96284617429027e-06	3.33442908863967	Phospho
LMNB1	7.17373016234115e-06	3.33024350428558	Phospho
KCNQ5	7.27269947483867e-06	-3.33024350428558	Phospho
TBC1D5	7.50019273105467e-06	-3.32166560551388	Phospho
TBC1D4	7.70629371394861e-06	-3.31589658632393	Phospho
MVB12A	8.47116792772472e-06	-3.28747695096214	Phospho
FAM129A	9.62220328080281e-06	-3.23669334208669	Phospho
KLC4	9.8832037152826e-06	-3.22957062372534	Phospho
PLEC	1.05323062132987e-05	-3.21517315953943	Phospho
PRKAA2	1.08072488743373e-05	-3.2083028577772	Phospho
DCAF6	1.0983252330923e-05	3.20556584721033	Phospho
PACRGL	1.16289042911898e-05	-3.19319784408465	Phospho
FAM53B	1.16329025960117e-05	-3.19319784408465	Phospho
PPP1R3F	1.21668837299081e-05	3.17840978107484	Phospho
QSOX2	1.22650870052572e-05	3.17840978107484	Phospho
TXLNG	1.26932821993637e-05	-3.16924263473681	Phospho
MARVELD2	1.27608763335907e-05	-3.16924263473681	Phospho
FRMD8	1.29793880288617e-05	-3.16583510567374	Phospho
SCAMP3	1.37816153333862e-05	-3.14790146346274	Phospho
GOLM1	1.39619279544701e-05	3.14790146346274	Phospho
SPRY2	1.43726164401829e-05	-3.14085864128382	Phospho
MRPS17	1.46627853331179e-05	-3.13593814950147	Phospho
NCOA6	1.54047647590355e-05	-3.12517167438275	Phospho
LSM14A	1.55491340759027e-05	-3.12517167438275	Phospho
PPP1R3D	1.5962665359625e-05	-3.12151611001559	Phospho
CLN3	1.59939242824347e-05	-3.12151611001559	Phospho
PHF10	1.6072581555488e-05	3.12151611001559	Phospho
OTUD5	1.64010863520748e-05	-3.11624570668738	Phospho
HMHA1	1.80253322551802e-05	-3.07872337104386	Phospho
TOP2B	1.82955036952692e-05	3.07788121556425	Phospho
PSMD11	1.85834931990364e-05	-3.07788121556425	Phospho
PPHLN1	1.89238930105357e-05	3.07788121556425	Phospho
FYN	1.89272150595666e-05	-3.07788121556425	Phospho
TEX2	1.91462533866402e-05	-3.07618676573352	Phospho
TREX2	1.95367016446329e-05	3.07247399127018	Phospho
NCAPD2	1.96032213510427e-05	3.07247399127018	Phospho
MLPH	1.98014036743751e-05	-3.07133442775236	Phospho
DYRK1A	2.03742812032238e-05	-3.06215324914185	Phospho
TMEM245	2.09604649311204e-05	3.05619205881638	Phospho
PRKAA1	2.11115139294266e-05	-3.05619205881638	Phospho
SRRT	2.13123171712006e-05	3.05519400165527	Phospho
TBC1D25	2.21833960962955e-05	-3.04627364880849	Phospho
FRMD7	2.25378948793657e-05	-3.04627364880849	Phospho
OPTN	2.31319341029322e-05	-3.04627364880849	Phospho
DBNL	2.35184358601618e-05	-3.04627364880849	Phospho
ZNF185	2.35738154533891e-05	3.04627364880849	Phospho
PRKCI	2.36330521208462e-05	-3.04627364880849	Phospho
DOCK7	2.36461621298673e-05	-3.04627364880849	Phospho
BAG3	2.37077856601391e-05	-3.04627364880849	Phospho
GATAD2A	2.38427078334685e-05	3.04627364880849	Phospho
RBM14	2.39300556589198e-05	-3.04627364880849	Phospho
SLC17A5	2.41088637097603e-05	-3.04585159303307	Phospho
SP140L	2.43755306893164e-05	3.04386715539631	Phospho
KCNQ4	2.47802805713827e-05	-3.03949006981292	Phospho
ERBB2IP	2.54698338115131e-05	-3.03032761242814	Phospho
HNRNPM	2.58755577180601e-05	-3.02892690008132	Phospho
MTCH1	2.68063689409845e-05	-3.02152890581694	Phospho
GAS2L1	2.71606332418123e-05	3.01982232866984	Phospho
GIGYF1	2.72494820816687e-05	-3.01982232866984	Phospho
RHBDF2	2.78194474206999e-05	-3.01377277810506	Phospho
MYH10	2.81341073558431e-05	-3.01377277810506	Phospho
ZBTB44	2.93287281382358e-05	2.99829011143511	Phospho
USP20	2.9826673627322e-05	2.99354073603419	Phospho
YRDC	3.00210177205088e-05	-2.99326733624879	Phospho
PSMG1	3.02620645985121e-05	-2.99232652962349	Phospho
FLNA	3.04682365493462e-05	2.99189542113036	Phospho
KAT7	3.15797452627278e-05	2.97920540325807	Phospho
MRE11A	3.178348454627e-05	2.97920540325807	Phospho
AKAP2	3.30939869469296e-05	-2.97080057642388	Phospho
FAM21A	3.42853016310678e-05	-2.95786116721403	Phospho
ZNF280C	3.6001312587864e-05	2.94382939125109	Phospho
SGK223	3.74211407328413e-05	-2.93175134286982	Phospho
EIF4H	3.79824836934077e-05	-2.92995488318807	Phospho
RAB2B	3.99451374220621e-05	-2.9127965496653	Phospho
FZD6	4.1703728645614e-05	-2.90293619389011	Phospho
TMCO1	4.18474713932848e-05	2.90293619389011	Phospho
MAF1	4.19336023716431e-05	-2.90293619389011	Phospho
PJA2	4.22275225931825e-05	-2.90228842371101	Phospho
NDNL2	4.27282643133703e-05	2.90228842371101	Phospho
LIN9	4.30116932247382e-05	-2.90228842371101	Phospho
GIGYF2	4.3320239124035e-05	2.90228842371101	Phospho
TRIM47	4.35554606429624e-05	-2.90228842371101	Phospho
ESYT2	4.37317774672726e-05	2.90228842371101	Phospho
MKI67	4.39444720196204e-05	2.90228842371101	Phospho
PACSIN1	4.43152373490115e-05	-2.90077372444363	Phospho
LMNA	4.52932160692224e-05	2.89651906838344	Phospho
CHMP2B	4.53836942371565e-05	-2.89651906838344	Phospho
ZFP36L1	4.5409624826823e-05	-2.89651906838344	Phospho
CHTF18	4.58382207918489e-05	-2.89453221950619	Phospho
FAM83G	4.67259068636433e-05	-2.89035819245886	Phospho
ATF2	4.73582766601366e-05	-2.88754286346112	Phospho
RAPGEF1	4.74776958743063e-05	-2.88754286346112	Phospho
TJP1	4.84166023260024e-05	-2.88621916231413	Phospho
ZZEF1	4.94633613189083e-05	-2.88186950448946	Phospho
CSNK1G3	5.1437953070021e-05	-2.87173340841994	Phospho
FRMD4A	5.16600461532933e-05	-2.87173340841994	Phospho
ADAMTS15	5.2024899104431e-05	2.87173340841994	Phospho
KMT2A	5.53229631676472e-05	2.84889964243946	Phospho
ABCC1	5.6133107139538e-05	2.84738955922107	Phospho
TRERF1	5.62525947484187e-05	-2.84738955922107	Phospho
EEPD1	5.80542766803511e-05	-2.83970268464347	Phospho
AMFR	5.83586263773224e-05	-2.83970268464347	Phospho
ITGA3	5.83828489975935e-05	-2.83970268464347	Phospho
CD74	5.85072666930644e-05	-2.83970268464347	Phospho
WWC1	5.96282848445336e-05	-2.83331218155954	Phospho
PCBP1	6.03227319236724e-05	-2.83231998313335	Phospho
PWP1	6.08652413945854e-05	2.83231998313335	Phospho
TNIK	6.17509403153818e-05	-2.83231998313335	Phospho
KAT8	6.36229194557975e-05	2.8250181501783	Phospho
WRAP53	6.66802026322698e-05	2.81163973446311	Phospho
SIPA1	6.74709536958428e-05	2.80861034252267	Phospho
MBP	6.76841275113569e-05	-2.80861034252267	Phospho
EGFR	6.90632132928635e-05	-2.80157037705599	Phospho
HLA-B	7.16262367028238e-05	-2.79136380464719	Phospho
PI4K2A	7.19118197500483e-05	-2.79136380464719	Phospho
ZC3HC1	7.21345791260224e-05	2.79136380464719	Phospho
FAM104A	7.25486240487447e-05	2.79136380464719	Phospho
LRP12	7.31644476966532e-05	-2.79136380464719	Phospho
BRD1	7.32207416272972e-05	2.79136380464719	Phospho
LEMD2	8.08925144492703e-05	-2.75139222841957	Phospho
FMNL2	8.3071903992844e-05	-2.7431241088139	Phospho
