GeneName	pValue	rank	DataSet
CHAF1B	8.34818963952064e-05	2.74261559203151	Phospho
MAP1S	8.39457294363853e-05	-2.74183282352947	Phospho
PANK2	8.70160007442191e-05	-2.72888265643012	Phospho
SLC38A1	8.86834527531452e-05	-2.72282333423071	Phospho
BNIP3	8.97168008672482e-05	2.72098550469217	Phospho
SPTAN1	9.05824545556365e-05	2.71904832538609	Phospho
GRAMD1A	9.87112061536461e-05	2.68423926018651	Phospho
WBP1L	9.9807595908697e-05	-2.6810128110254	Phospho
MLLT4	0.000102391254313987	-2.67224892895166	Phospho
PPP1R12A	0.000102577452931585	-2.67224892895166	Phospho
ZNF462	0.000103679055135471	2.66916363739175	Phospho
TRA2B	0.000105524400463627	2.66367947656427	Phospho
HIRIP3	0.000105746564883067	2.66367947656427	Phospho
MDC1	0.000106402890768645	2.66252964514388	Phospho
POLR2A	0.000110106165736174	2.64920333744037	Phospho
R3HDM1	0.000110702753360571	-2.64838307408563	Phospho
GATAD2B	0.000116288334307081	2.63004238363758	Phospho
CDC42EP1	0.000118915828114156	-2.62318819785017	Phospho
SDE2	0.000118961458911702	-2.62318819785017	Phospho
WRNIP1	0.000119390693563374	2.62312415950623	Phospho
TSC2	0.00012408614795078	-2.60786632288039	Phospho
TOR1AIP2	0.000125729524645366	2.60512698347804	Phospho
HIST1H4A	0.000126929122698099	2.60248268879636	Phospho
CCDC6	0.000128968801240149	-2.59925682673168	Phospho
TOR4A	0.000129490963910821	2.59925682673168	Phospho
CEP170	0.000130050192179858	-2.59925682673168	Phospho
NES	0.000132713763453639	2.59660267548402	Phospho
SSFA2	0.000132738473181582	-2.59660267548402	Phospho
MPLKIP	0.000133828609560413	-2.59660267548402	Phospho
PLEKHM1	0.000134642079338897	-2.59660267548402	Phospho
FAM134C	0.000134648233087234	2.59660267548402	Phospho
SCAF1	0.000139696881029266	2.58736947074216	Phospho
RAB11FIP5	0.000140507202312301	-2.58736947074216	Phospho
KLC2	0.000140732691446134	-2.58736947074216	Phospho
CCDC61	0.000141912432161341	2.58673382482247	Phospho
EIF4B	0.000142071362058758	-2.58673382482247	Phospho
MMACHC	0.000142646908847138	-2.58673382482247	Phospho
SMC1A	0.000143038088847522	2.58673382482247	Phospho
SRSF9	0.000143255989974391	2.58673382482247	Phospho
SMIM13	0.000145105801023336	2.58251689415653	Phospho
PARD6A	0.00014920793079266	2.57176060076772	Phospho
MYO1C	0.000152415413078521	2.56594966058655	Phospho
TMEM201	0.000157085795105465	-2.55805369793763	Phospho
FAM84B	0.000157339888013497	-2.55805369793763	Phospho
PLEKHA2	0.000159100739481977	-2.55673334210543	Phospho
TPBG	0.000159400481482478	-2.55673334210543	Phospho
TRIM37	0.000162402745610752	-2.55214807651929	Phospho
FNBP4	0.000165085745293908	-2.54632633937027	Phospho
FAM169A	0.000168553006957313	2.5400492621041	Phospho
SMC4	0.000172115339184798	2.53335597670726	Phospho
CTNNA1	0.000173344045095562	2.53154208881562	Phospho
KDM2A	0.000176676645326967	2.52455718162746	Phospho
PRKCZ	0.000177421066473552	-2.52455718162746	Phospho
TSC22D3	0.00017809954803983	-2.52455718162746	Phospho
RBM10	0.000178220866214902	2.52455718162746	Phospho
ALDOA	0.000189002972798834	-2.50405342849301	Phospho
SH2D5	0.000192571405068519	-2.49717288188213	Phospho
TOP2A	0.000200044494275465	2.48671056216826	Phospho
SPEN	0.000200233870664341	2.48671056216826	Phospho
CDC42SE1	0.000200648571665244	-2.48671056216826	Phospho
CCR1	0.000209390921301783	2.47201115104106	Phospho
CWC22	0.00020993461053655	2.47201115104106	Phospho
EPRS	0.000211007217769345	-2.47201115104106	Phospho
EVI2A	0.000211428295383625	-2.47201115104106	Phospho
KCTD12	0.000211637250489014	-2.47201115104106	Phospho
ARHGEF18	0.000213033727336997	-2.47154113511594	Phospho
KANK1	0.000214990258746522	-2.46875893971883	Phospho
ZC3H13	0.000217442392036232	2.46501848397094	Phospho
RFFL	0.000219693996825777	2.46172626547051	Phospho
FBXL20	0.000223708774002323	-2.45621534303903	Phospho
TMEM179B	0.000225662737935061	-2.45520932732711	Phospho
SSH1	0.000226099450133476	-2.45520932732711	Phospho
ETV6	0.000226931194770715	2.45520932732711	Phospho
AKT1S1	0.000229687818962572	-2.45248902322261	Phospho
LIMCH1	0.000229905289694648	2.45248902322261	Phospho
PUS1	0.000231804543710311	2.45006649202725	Phospho
REPS2	0.000234908960696617	-2.44543626324935	Phospho
PRPF4B	0.000241301248743043	2.43606204298296	Phospho
CCDC86	0.000245841966063826	2.43150126393874	Phospho
MFAP1	0.000246408736765453	2.43150126393874	Phospho
ZFP36	0.000247451439158169	-2.43079395740681	Phospho
SHROOM3	0.000248257003228338	-2.43074605669625	Phospho
KRI1	0.000249402143279527	-2.43074605669625	Phospho
ABCC3	0.000258287430162425	-2.41880354174632	Phospho
BAZ1B	0.000258332568496119	2.41880354174632	Phospho
NDRG3	0.000260686619672384	-2.41645230560454	Phospho
SLC23A2	0.000261060131798177	-2.41645230560454	Phospho
RECQL5	0.00026192192218803	2.41612188306637	Phospho
PPIG	0.000263669717193064	2.41540061754173	Phospho
PCDH1	0.000263685668321954	-2.41540061754173	Phospho
TJP3	0.000266431483369374	2.41308398965707	Phospho
REEP4	0.000275447251394548	2.40511321689023	Phospho
CDCA3	0.000276685710025277	2.40423594055732	Phospho
SORBS2	0.000280105825314056	-2.39996890507017	Phospho
ATP2B4	0.000284047950399498	-2.39496513990966	Phospho
MAP1B	0.000285563724166021	-2.39371690756481	Phospho
MLLT10	0.000286428107202641	2.39346486036856	Phospho
SNTB1	0.000289543896865489	2.39169160680063	Phospho
IRS1	0.00029392514430241	2.38646023774661	Phospho
RABL6	0.000295706313451162	2.38592937034843	Phospho
LGALS3BP	0.000296729057043287	-2.38547261521859	Phospho
FURIN	0.000302811521789091	2.37970315969358	Phospho
AAK1	0.00030377180715136	-2.37970315969358	Phospho
KIF13A	0.000307398679984603	-2.37633500584428	Phospho
IER3	0.000309952160063831	2.37581156850844	Phospho
DDX55	0.000310745158188292	2.37572014124092	Phospho
SLC35F6	0.000319647548984339	-2.36446902705612	Phospho
COL5A1	0.000322231182775596	2.36198636347767	Phospho
DPYSL2	0.000337096170156372	-2.34924800177859	Phospho
CENPA	0.000338113785824979	2.34911519518054	Phospho
DDX3X	0.000350567116945091	-2.3353899799343	Phospho
DSN1	0.00035389873202516	-2.33227030658086	Phospho
TRIP10	0.000357213574242627	-2.33062891154349	Phospho
KIF23	0.000358217407078999	-2.33062891154349	Phospho
ROCK2	0.0003584682496734	-2.33062891154349	Phospho
OSBPL11	0.000363139631640302	-2.32815956140265	Phospho
STX12	0.000363760124055795	-2.32815956140265	Phospho
GRIPAP1	0.000373659065991413	2.32026155007693	Phospho
CLK1	0.000375397122634235	-2.32026155007693	Phospho
C11orf84	0.00037763422055367	2.31959013695977	Phospho
IFNGR1	0.000381929267698525	-2.31847152823747	Phospho
COL4A2	0.000383217948587775	2.31795172038514	Phospho
BRAF	0.000384941506442057	-2.31694387070642	Phospho
TP53BP1	0.000386253760643678	2.31640490689898	Phospho
ZNF609	0.00038774166479399	2.31620884715409	Phospho
LMO7	0.00038809740821129	2.31620884715409	Phospho
KMT2B	0.000392008527565382	-2.31278703884528	Phospho
NUFIP2	0.000394673769566644	-2.31170422609925	Phospho
RBMX	0.000397242499760352	-2.30981377327966	Phospho
GOLIM4	0.0004002505690066	2.30746253665186	Phospho
ACIN1	0.000406761833229156	2.30373349466762	Phospho
SUN2	0.000406940444950484	2.30373349466762	Phospho
ITGB4	0.000407994652507364	-2.30373349466762	Phospho
MAP3K3	0.000409354224961426	-2.30320431231319	Phospho
BRIP1	0.000413468284234723	2.29977281385922	Phospho
CHAMP1	0.000418776066338266	2.29605029697252	Phospho
C4orf3	0.000432864234728327	-2.28349000923596	Phospho
BRWD1	0.000436636668878143	-2.28242179327139	Phospho
DENND1A	0.000443668891321107	-2.27727392756499	Phospho
PLIN3	0.000450788172714142	-2.27214394573388	Phospho
RPL30	0.000459449825707455	2.26476740472342	Phospho
MYADM	0.000462062886218736	-2.26319163019069	Phospho
SQSTM1	0.000465800520153354	-2.26283733460534	Phospho
ACOX2	0.000467158764345765	2.26283733460534	Phospho
MET	0.000475486889052567	-2.25603976688299	Phospho
RBM8A	0.000479527575067642	2.25339699692825	Phospho
CLCC1	0.000480318133091781	2.25339699692825	Phospho
KIF4A	0.000483648923312154	2.25213641575396	Phospho
PTS	0.000490018600612359	-2.24835244748062	Phospho
CARHSP1	0.000496041691861585	-2.24460899306981	Phospho
TRAF3IP1	0.000497432146309766	-2.24425416692105	Phospho
C2CD2L	0.000510047286262617	2.23423671233459	Phospho
ATG2A	0.000518672385795528	-2.22781146934727	Phospho
MFF	0.000525337605635617	-2.22397592870567	Phospho
SH3BP2	0.00052807222808669	-2.22257348475711	Phospho
KIF1B	0.000545322949246078	-2.21031282286716	Phospho
AGPAT9	0.000551683376744139	-2.20781396770661	Phospho
DBN1	0.000553855771196703	2.20779946085429	Phospho
UBR4	0.000555986867639933	-2.20779946085429	Phospho
MTCL1	0.000566716004694261	2.2003345025701	Phospho
PBRM1	0.000573477661588889	2.19601785431784	Phospho
HELZ	0.000576750348822693	-2.19527377335849	Phospho
CLIC6	0.000587261074973289	-2.18985116511504	Phospho
RSRC2	0.000588798148042814	2.18954081658727	Phospho
TBC1D2	0.000602122502229945	-2.18310630004065	Phospho
ZNF280D	0.000616210829530217	-2.17632109222432	Phospho
AJUBA	0.000629698792905069	-2.16772856561869	Phospho
COL17A1	0.000635121933341551	2.16642700327465	Phospho
ST5	0.000635899596796098	-2.16642700327465	Phospho
OCLN	0.000637044547741161	2.16642700327465	Phospho
JAG1	0.000642708086360271	-2.16448270219346	Phospho
CSNK1D	0.000646209228533897	-2.16371998309009	Phospho
ERBB2	0.000668259921456901	2.15509742149502	Phospho
LYST	0.000670541918361548	-2.15509742149502	Phospho
PFKFB2	0.000671262209863617	-2.15509742149502	Phospho
RP2	0.000673042703903215	-2.15472880763473	Phospho
NFATC2	0.000692461153291363	2.14315641715946	Phospho
MAP4K4	0.000702734725333282	-2.13753942110788	Phospho
NOM1	0.000704083269405719	-2.13748441996667	Phospho
C2CD5	0.000706649124219777	-2.13668083866375	Phospho
KIAA0930	0.000712245318735491	-2.13558825626176	Phospho
TREX1	0.000718556191727482	2.13352952710941	Phospho
RBM34	0.000719589623992643	2.13352952710941	Phospho
SMG6	0.000720692775414442	-2.13352952710941	Phospho
PARP4	0.000733032681314235	-2.12890393826587	Phospho
TLE3	0.000733548454954276	2.12890393826587	Phospho
PML	0.000739503833526423	2.12702012080866	Phospho
ANKRD62	0.000747059305267912	2.12702012080866	Phospho
CIT	0.000750162425724737	2.12596932293858	Phospho
SUZ12	0.000765720371761292	2.11854941983978	Phospho
KIAA0195	0.000784983251399653	-2.11062966039983	Phospho
AQP1	0.000785171617608629	2.11062966039983	Phospho
TNFRSF19	0.000797184218178038	-2.10625323909511	Phospho
PHRF1	0.000806410941819988	2.10199223647043	Phospho
ITGAV	0.000812075058340032	2.09968794559813	Phospho
GAPVD1	0.000822533648566217	-2.09573599827909	Phospho
ABI1	0.000824130341932067	-2.09573599827909	Phospho
CAMKK2	0.00083442005997348	-2.0921869586922	Phospho
DENND4A	0.00083461081709572	2.0921869586922	Phospho
LRPAP1	0.000844644188022615	2.08793022573444	Phospho
TRAF1	0.000848328626555144	2.08728376473034	Phospho
CHMP3	0.000859081950980308	-2.08325853321808	Phospho
FAM53C	0.00086699486945639	-2.07999742135699	Phospho
BZW1	0.000890784648249033	-2.07111260397666	Phospho
VANGL1	0.000907017733449758	2.06624086005925	Phospho
STK32C	0.000909737822962034	-2.06624086005925	Phospho
SETD2	0.000929259119583716	2.05843492061017	Phospho
RBMX2	0.000939416361163572	2.05537040814224	Phospho
ZFC3H1	0.00094040451088285	2.05537040814224	Phospho
SEPT9	0.000954828879482733	-2.0494617396516	Phospho
SCAMP2	0.000956412632979927	-2.04944302225772	Phospho
NFIC	0.000966432632006653	-2.04563737793834	Phospho
HLA-H	0.000971888265837206	-2.04526488772314	Phospho
LEMD3	0.000977534094075526	2.04344474056063	Phospho
TUBA1A	0.000991463815922794	-2.03937520985203	Phospho
NCL	0.000993178755533161	2.03937520985203	Phospho
GIPC1	0.000995542521077343	-2.03937520985203	Phospho
GPR39	0.000996209745883872	-2.03937520985203	Phospho
LLGL2	0.00102084940969579	-2.03083185474726	Phospho
YIPF6	0.00102244159053147	2.03083185474726	Phospho
TIMELESS	0.00103118865903827	2.02781562433821	Phospho
TNKS1BP1	0.00103355141184869	-2.02750398447822	Phospho
CBX3	0.00105355702469655	-2.02361066026414	Phospho
PI4K2B	0.00105362471171638	2.02361066026414	Phospho
BICD2	0.0010543185405661	-2.02361066026414	Phospho
TMPO	0.00107465220569014	-2.01666122030561	Phospho
NEDD4L	0.00107784747612936	-2.01646163688797	Phospho
TYK2	0.00107853629857573	2.01646163688797	Phospho
TOM1	0.00108013912292805	-2.01646163688797	Phospho
SLC2A12	0.00108405892028602	-2.01555710593161	Phospho
DTD1	0.00109679182727707	-2.01183082056154	Phospho
BRD9	0.00109844672265492	2.01183082056154	Phospho
LSR	0.00110926697862996	2.00890185187898	Phospho
ZCCHC8	0.0011186900150629	2.00655224449607	Phospho
PNPLA2	0.00112589172917159	-2.00463217887064	Phospho
PAK6	0.00115071615008618	1.99824195673848	Phospho
SNX9	0.00115969118746532	-1.99552235912479	Phospho
CENPF	0.00116148412175569	1.99550500492688	Phospho
PA2G4	0.00117244569099089	-1.9928549152894	Phospho
FOXK1	0.00117632011190428	-1.9928549152894	Phospho
FXR1	0.00117737964726517	1.9928549152894	Phospho
PPAN	0.00119210125057372	-1.98875276619237	Phospho
OSBPL8	0.00120337151297402	1.98660068317923	Phospho
ZC3H11A	0.00121383215556924	1.9834846944728	Phospho
RPRD2	0.00121724980197697	1.98330660463017	Phospho
TFPI2	0.00121792270250791	-1.98330660463017	Phospho
ISCU	0.00122659766258704	-1.98150341666076	Phospho
LATS1	0.00123326264368599	-1.97978817198331	Phospho
RBM12B	0.00125537547382526	1.97334370077431	Phospho
SRRM1	0.00125891072872386	1.97275780371544	Phospho
AXL	0.00126662124170344	1.97074044117431	Phospho
DOCK9	0.00127260289301734	-1.96978270391272	Phospho
NUMA1	0.00129869804238398	1.96177688905609	Phospho
COPRS	0.0013147937766358	-1.95705821886826	Phospho
ESCO2	0.00131739912014969	-1.95682835839581	Phospho
SLC20A1	0.00132365415854727	-1.955429659953	Phospho
LIMD1	0.00132827837702356	-1.95514076847906	Phospho
CIC	0.00134711082763411	1.94965278030084	Phospho
NELFE	0.00134905926726138	-1.94965041166071	Phospho
SAMD1	0.00135386296232519	1.94873116892929	Phospho
ANKRD54	0.00137602713726909	-1.94292506042863	Phospho
PDS5B	0.00138187937676112	1.94198267675335	Phospho
SPECC1	0.0013849432499632	-1.94198267675335	Phospho
VCL	0.00139879709337803	-1.93951457465579	Phospho
COL4A3BP	0.00140439384912139	-1.93949461976476	Phospho
SIPA1L1	0.00140482242351188	1.93949461976476	Phospho
SEPN1	0.00141612446978395	1.9374587004012	Phospho
SYTL4	0.00142140529830718	1.9374587004012	Phospho
ARGLU1	0.00142656839612981	1.93649356803355	Phospho
CHPF2	0.00144383558215016	1.93309191857764	Phospho
TTC4	0.00144652888612618	-1.93288868176558	Phospho
PEX10	0.00145359797694174	-1.93179973438051	Phospho
PCYT2	0.0014548627295888	-1.93179973438051	Phospho
EPC2	0.00145622807194994	1.93179973438051	Phospho
VCP	0.00146650468597732	-1.92934844639546	Phospho
PALLD	0.00147185261350631	1.92881791183916	Phospho
ADAM9	0.00147309734564218	-1.92881791183916	Phospho
FLNB	0.0014744066841572	1.92881791183916	Phospho
BCAM	0.00148579498004701	-1.92666314818331	Phospho
PUM2	0.00148767717581003	-1.92666314818331	Phospho
THRAP3	0.00150895704257643	1.92115113969406	Phospho
CSF1	0.00152451033291163	-1.91848364137322	Phospho
FGD1	0.00152675463596593	-1.9184384703725	Phospho
LARP1	0.0015343747191721	1.91686917703675	Phospho
SAFB	0.00155900493640335	1.91131552828839	Phospho
MAP4	0.00156069809054341	1.91131552828839	Phospho
