Metabolite	feature_identifier	Edge_Type	Display_Name
HMDB0040754	Row.650_63856	mz_met	mz231.1393
HMDB0061839	Row.650_63856	mz_met	mz231.1393
HMDB0030761	Row.650_63856	mz_met	mz231.1393
HMDB0030790	Row.650_63856	mz_met	mz231.1393
HMDB0031000	Row.650_63856	mz_met	mz231.1393
HMDB0035412	Row.650_63856	mz_met	mz231.1393
HMDB0035906	Row.650_63856	mz_met	mz231.1393
HMDB0035934	Row.650_63856	mz_met	mz231.1393
HMDB0036110	Row.650_63856	mz_met	mz231.1393
HMDB0036119	Row.650_63856	mz_met	mz231.1393
HMDB0036148	Row.650_63856	mz_met	mz231.1393
HMDB0036206	Row.650_63856	mz_met	mz231.1393
HMDB0036688	Row.650_63856	mz_met	mz231.1393

HMDB0036766	Row.650_63856	mz_met	mz231.1393
HMDB0036881	Row.650_63856	mz_met	mz231.1393
HMDB0037563	Row.650_63856	mz_met	mz231.1393
HMDB0037608	Row.650_63856	mz_met	mz231.1393
HMDB0039011	Row.650_63856	mz_met	mz231.1393
HMDB0040902	Row.650_63856	mz_met	mz231.1393
HMDB0040981	Row.650_63856	mz_met	mz231.1393
HMDB0041038	Row.650_63856	mz_met	mz231.1393
HMDB0041062	Row.650_63856	mz_met	mz231.1393
HMDB0134123	Row.650_63856	mz_met	mz231.1393
HMDB0134124	Row.650_63856	mz_met	mz231.1393
HMDB0134125	Row.650_63856	mz_met	mz231.1393
HMDB0134126	Row.650_63856	mz_met	mz231.1393
HMDB0134127	Row.650_63856	mz_met	mz231.1393
HMDB0134128	Row.650_63856	mz_met	mz231.1393
HMDB0134129	Row.650_63856	mz_met	mz231.1393
HMDB0134130	Row.650_63856	mz_met	mz231.1393
HMDB0035759	Row.650_63856	mz_met	mz231.1393
HMDB0036471	Row.650_63856	mz_met	mz231.1393
HMDB0040284	Row.650_63856	mz_met	mz231.1393
HMDB0013195	Row.677_29669	mz_met	mz337.1703
HMDB0032562	Row.677_29669	mz_met	mz337.1703
HMDB0003701	Row.677_29669	mz_met	mz337.1703
HMDB0029740	Row.677_29669	mz_met	mz337.1703
HMDB0030386	Row.677_29669	mz_met	mz337.1703
HMDB0030906	Row.677_29669	mz_met	mz337.1703
HMDB0030907	Row.677_29669	mz_met	mz337.1703
HMDB0030908	Row.677_29669	mz_met	mz337.1703
HMDB0040219	Row.587_42598	mz_met	mz217.1813
HMDB0013113	Row.587_42598	mz_met	mz217.1813
HMDB0030942	Row.587_42598	mz_met	mz217.1813
HMDB0032239	Row.587_42598	mz_met	mz217.1813
HMDB0011624	Row.587_42598	mz_met	mz217.1813
HMDB0031408	Row.587_42598	mz_met	mz217.1813
HMDB0035246	Row.587_42598	mz_met	mz217.1813
HMDB0035411	Row.587_42598	mz_met	mz217.1813
HMDB0014739	Row.52_21483	mz_met	mz673.2834
HMDB0001930	Row.52_21483	mz_met	mz673.2834
HMDB0015190	Row.463_22650	mz_met	mz767.3357
HMDB0011655	Row.463_22650	mz_met	mz767.3357
HMDB0028895	Row.463_22650	mz_met	mz767.3357
HMDB0029063	Row.463_22650	mz_met	mz767.3357
HMDB0034081	Row.828_29597	mz_met	mz239.1659
HMDB0041130	Row.828_29597	mz_met	mz239.1659
HMDB0000872	Row.828_29597	mz_met	mz239.1659
HMDB0040429	Row.828_29597	mz_met	mz239.1659
HMDB0041618	Row.828_29597	mz_met	mz239.1659
HMDB0059946	Row.828_29597	mz_met	mz239.1659
HMDB0059947	Row.828_29597	mz_met	mz239.1659
HMDB0032369	Row.828_29597	mz_met	mz239.1659
HMDB0031846	Row.828_29597	mz_met	mz239.1659
HMDB0032355	Row.828_29597	mz_met	mz239.1659
HMDB0032913	Row.828_29597	mz_met	mz239.1659
HMDB0036026	Row.828_29597	mz_met	mz239.1659
HMDB0036184	Row.828_29597	mz_met	mz239.1659
HMDB0036820	Row.828_29597	mz_met	mz239.1659
HMDB0036823	Row.828_29597	mz_met	mz239.1659
HMDB0038026	Row.828_29597	mz_met	mz239.1659
HMDB0038216	Row.828_29597	mz_met	mz239.1659
HMDB0038731	Row.828_29597	mz_met	mz239.1659
HMDB0038897	Row.828_29597	mz_met	mz239.1659
HMDB0041629	Row.828_29597	mz_met	mz239.1659
HMDB0031181	Row.828_29597	mz_met	mz239.1659
HMDB0032531	Row.828_29597	mz_met	mz239.1659
HMDB0038108	Row.828_29597	mz_met	mz239.1659
HMDB0039339	Row.828_29597	mz_met	mz239.1659
HMDB0039590	Row.828_29597	mz_met	mz239.1659
HMDB0000910	Row.821_54086	mz_met	mz259.1922
HMDB0029552	Row.821_54086	mz_met	mz259.1922
HMDB0031018	Row.821_54086	mz_met	mz259.1922
HMDB0032211	Row.821_54086	mz_met	mz259.1922
HMDB0034140	Row.821_54086	mz_met	mz259.1922
HMDB0036217	Row.821_54086	mz_met	mz259.1922
HMDB0036219	Row.821_54086	mz_met	mz259.1922
HMDB0037311	Row.821_54086	mz_met	mz259.1922
HMDB0038729	Row.821_54086	mz_met	mz259.1922
HMDB0059900	Row.821_54086	mz_met	mz259.1922
HMDB0061828	Row.821_54086	mz_met	mz259.1922
HMDB0061829	Row.821_54086	mz_met	mz259.1922
HMDB0000638	Row.821_54086	mz_met	mz259.1922
HMDB0030998	Row.821_54086	mz_met	mz259.1922
HMDB0032310	Row.821_54086	mz_met	mz259.1922
HMDB0032440	Row.821_54086	mz_met	mz259.1922
HMDB0033619	Row.821_54086	mz_met	mz259.1922
HMDB0034128	Row.821_54086	mz_met	mz259.1922
HMDB0034136	Row.821_54086	mz_met	mz259.1922
HMDB0034137	Row.821_54086	mz_met	mz259.1922
HMDB0035410	Row.821_54086	mz_met	mz259.1922
HMDB0036225	Row.821_54086	mz_met	mz259.1922
HMDB0040166	Row.821_54086	mz_met	mz259.1922
HMDB0059868	Row.821_54086	mz_met	mz259.1922
HMDB0000666	Row.821_54086	mz_met	mz259.1922
HMDB0030028	Row.821_54086	mz_met	mz259.1922
HMDB0030052	Row.821_54086	mz_met	mz259.1922
HMDB0031528	Row.821_54086	mz_met	mz259.1922
HMDB0031594	Row.821_54086	mz_met	mz259.1922
HMDB0031595	Row.821_54086	mz_met	mz259.1922
HMDB0031600	Row.821_54086	mz_met	mz259.1922
HMDB0032204	Row.821_54086	mz_met	mz259.1922
HMDB0032874	Row.821_54086	mz_met	mz259.1922
HMDB0033745	Row.821_54086	mz_met	mz259.1922

HMDB0034166	Row.821_54086	mz_met	mz259.1922
HMDB0034239	Row.821_54086	mz_met	mz259.1922
HMDB0035238	Row.821_54086	mz_met	mz259.1922
HMDB0036209	Row.821_54086	mz_met	mz259.1922
HMDB0036237	Row.821_54086	mz_met	mz259.1922
HMDB0036238	Row.821_54086	mz_met	mz259.1922
HMDB0038227	Row.821_54086	mz_met	mz259.1922
HMDB0039095	Row.821_54086	mz_met	mz259.1922
HMDB0039618	Row.821_54086	mz_met	mz259.1922
HMDB0039619	Row.821_54086	mz_met	mz259.1922
HMDB0040297	Row.821_54086	mz_met	mz259.1922
HMDB0000753	Row.821_54086	mz_met	mz259.1922
HMDB0001318	Row.821_54086	mz_met	mz259.1922
HMDB0002939	Row.821_54086	mz_met	mz259.1922
HMDB0005842	Row.821_54086	mz_met	mz259.1922
HMDB0005846	Row.821_54086	mz_met	mz259.1922
HMDB0005994	Row.821_54086	mz_met	mz259.1922
HMDB0030003	Row.821_54086	mz_met	mz259.1922
HMDB0030952	Row.821_54086	mz_met	mz259.1922
HMDB0031220	Row.821_54086	mz_met	mz259.1922
HMDB0031502	Row.821_54086	mz_met	mz259.1922
HMDB0031503	Row.821_54086	mz_met	mz259.1922
HMDB0031578	Row.821_54086	mz_met	mz259.1922
HMDB0061882	Row.821_54086	mz_met	mz259.1922
HMDB0062792	Row.821_54086	mz_met	mz259.1922
HMDB0012535	Row.1355_31861	mz_met	mz261.1868
HMDB0032675	Row.1355_31861	mz_met	mz261.1868
HMDB0036422	Row.1355_31861	mz_met	mz261.1868
HMDB0041388	Row.1355_31861	mz_met	mz261.1868
HMDB0094642	Row.1355_31861	mz_met	mz261.1868
HMDB0112087	Row.1355_31861	mz_met	mz261.1868
HMDB0112095	Row.1355_31861	mz_met	mz261.1868
HMDB0112098	Row.1355_31861	mz_met	mz261.1868
HMDB0032501	Row.1355_31861	mz_met	mz261.1868
HMDB0033957	Row.1355_31861	mz_met	mz261.1868
HMDB0037209	Row.1355_31861	mz_met	mz261.1868
HMDB0037832	Row.1355_31861	mz_met	mz261.1868
HMDB0038024	Row.1355_31861	mz_met	mz261.1868
HMDB0038782	Row.1355_31861	mz_met	mz261.1868
HMDB0039358	Row.1355_31861	mz_met	mz261.1868
HMDB0040374	Row.1355_31861	mz_met	mz261.1868
HMDB0036578	Row.1355_31861	mz_met	mz261.1868
HMDB0035707	Row.1355_31861	mz_met	mz261.1868
HMDB0036416	Row.1355_31861	mz_met	mz261.1868
HMDB0036796	Row.1355_31861	mz_met	mz261.1868
HMDB0038125	Row.1355_31861	mz_met	mz261.1868
HMDB0059676	Row.1355_31861	mz_met	mz261.1868
HMDB0059857	Row.1355_31861	mz_met	mz261.1868
HMDB0059878	Row.1355_31861	mz_met	mz261.1868
HMDB0059910	Row.1355_31861	mz_met	mz261.1868
HMDB0061837	Row.1355_31861	mz_met	mz261.1868
HMDB0061838	Row.1355_31861	mz_met	mz261.1868
HMDB0061897	Row.1355_31861	mz_met	mz261.1868
HMDB0002265	Row.1064_32416	mz_met	mz319.229
HMDB0002311	Row.1064_32416	mz_met	mz319.229
HMDB0002314	Row.1064_32416	mz_met	mz319.229
HMDB0002343	Row.1064_32416	mz_met	mz319.229
HMDB0002995	Row.1064_32416	mz_met	mz319.229
HMDB0012504	Row.1064_32416	mz_met	mz319.229
HMDB0012838	Row.1064_32416	mz_met	mz319.229
HMDB0035379	Row.1064_32416	mz_met	mz319.229
HMDB0060106	Row.1064_32416	mz_met	mz319.229
HMDB0002190	Row.1064_32416	mz_met	mz319.229
HMDB0002232	Row.1064_32416	mz_met	mz319.229
HMDB0002283	Row.1064_32416	mz_met	mz319.229
HMDB0003876	Row.1064_32416	mz_met	mz319.229
HMDB0004264	Row.1064_32416	mz_met	mz319.229
HMDB0004673	Row.1064_32416	mz_met	mz319.229
HMDB0004679	Row.1064_32416	mz_met	mz319.229
HMDB0004680	Row.1064_32416	mz_met	mz319.229
HMDB0004682	Row.1064_32416	mz_met	mz319.229
HMDB0005998	Row.1064_32416	mz_met	mz319.229
HMDB0006111	Row.1064_32416	mz_met	mz319.229
HMDB0006245	Row.1064_32416	mz_met	mz319.229
HMDB0010222	Row.1064_32416	mz_met	mz319.229
HMDB0010409	Row.1064_32416	mz_met	mz319.229
HMDB0011134	Row.1064_32416	mz_met	mz319.229
HMDB0011136	Row.1064_32416	mz_met	mz319.229
HMDB0012508	Row.1064_32416	mz_met	mz319.229
HMDB0012567	Row.1064_32416	mz_met	mz319.229
HMDB0012598	Row.1064_32416	mz_met	mz319.229
HMDB0036262	Row.1064_32416	mz_met	mz319.229
HMDB0036705	Row.1064_32416	mz_met	mz319.229
HMDB0036810	Row.1064_32416	mz_met	mz319.229
HMDB0038520	Row.1064_32416	mz_met	mz319.229
HMDB0038688	Row.1064_32416	mz_met	mz319.229
HMDB0038689	Row.1064_32416	mz_met	mz319.229

HMDB0038694	Row.1064_32416	mz_met	mz319.229
HMDB0060101	Row.1064_32416	mz_met	mz319.229
HMDB0062287	Row.1064_32416	mz_met	mz319.229
HMDB0062294	Row.1064_32416	mz_met	mz319.229
HMDB0062302	Row.1064_32416	mz_met	mz319.229
HMDB0062431	Row.1064_32416	mz_met	mz319.229
HMDB0062433	Row.1064_32416	mz_met	mz319.229
HMDB0112068	Row.1064_32416	mz_met	mz319.229
HMDB0112071	Row.1064_32416	mz_met	mz319.229
HMDB0005935	Row.1064_32416	mz_met	mz319.229
HMDB0034146	Row.885_25635	mz_met	mz848.8455
HMDB0128920	Row.311_2032	mz_met	mz91.0213
HMDB0129102	Row.311_2032	mz_met	mz91.0213
HMDB0001533	Row.278_13736	mz_met	mz456.1623
HMDB0006486	Row.278_13736	mz_met	mz456.1623
HMDB0030211	Row.278_13736	mz_met	mz456.1623
HMDB0030270	Row.278_13736	mz_met	mz456.1623
HMDB0033266	Row.278_13736	mz_met	mz456.1623
HMDB0034593	Row.278_13736	mz_met	mz456.1623
HMDB0060784	Row.278_13736	mz_met	mz456.1623
HMDB0030556	Row.144_26107	mz_met	mz919.376
HMDB0036983	Row.144_26107	mz_met	mz919.376
HMDB0060932	Row.144_26107	mz_met	mz919.376
HMDB0032622	Row.144_26107	mz_met	mz919.376
HMDB0032698	Row.15_24727	mz_met	mz301.1458
HMDB0041824	Row.15_24727	mz_met	mz301.1458
HMDB0041838	Row.15_24727	mz_met	mz301.1458
HMDB0134978	Row.15_24727	mz_met	mz301.1458
HMDB0000530	Row.15_24727	mz_met	mz301.1458
HMDB0005056	Row.15_24727	mz_met	mz301.1458
HMDB0014325	Row.15_24727	mz_met	mz301.1458
HMDB0036472	Row.15_24727	mz_met	mz301.1458
HMDB0126616	Row.15_24727	mz_met	mz301.1458
HMDB0033680	Row.15_24727	mz_met	mz301.1458
HMDB0135618	Row.15_24727	mz_met	mz301.1458
HMDB0030801	Row.820_30721	mz_met	mz259.1711
HMDB0030974	Row.820_30721	mz_met	mz259.1711
HMDB0031928	Row.820_30721	mz_met	mz259.1711
HMDB0039251	Row.820_30721	mz_met	mz259.1711
HMDB0137260	Row.820_30721	mz_met	mz259.1711
HMDB0033941	Row.820_30721	mz_met	mz259.1711
HMDB0034000	Row.820_30721	mz_met	mz259.1711
HMDB0038781	Row.820_30721	mz_met	mz259.1711
HMDB0060355	Row.820_30721	mz_met	mz259.1711
HMDB0036451	Row.820_30721	mz_met	mz259.1711
HMDB0036453	Row.820_30721	mz_met	mz259.1711
HMDB0038204	Row.820_30721	mz_met	mz259.1711
HMDB0059829	Row.820_30721	mz_met	mz259.1711
HMDB0059858	Row.820_30721	mz_met	mz259.1711
HMDB0014433	Row.1217_20066	mz_met	mz547.2342
HMDB0030631	Row.1217_20066	mz_met	mz547.2342
HMDB0041116	Row.1217_20066	mz_met	mz547.2342
HMDB0015000	Row.1217_20066	mz_met	mz547.2342
HMDB0033921	Row.1217_20066	mz_met	mz547.2342
HMDB0034132	Row.1217_20066	mz_met	mz547.2342
HMDB0039660	Row.1217_20066	mz_met	mz547.2342
HMDB0040929	Row.1217_20066	mz_met	mz547.2342
HMDB0129930	Row.1217_20066	mz_met	mz547.2342
HMDB0129935	Row.1217_20066	mz_met	mz547.2342
HMDB0129940	Row.1217_20066	mz_met	mz547.2342
HMDB0129945	Row.1217_20066	mz_met	mz547.2342
HMDB0135768	Row.1217_20066	mz_met	mz547.2342
HMDB0135772	Row.1217_20066	mz_met	mz547.2342
HMDB0135773	Row.1217_20066	mz_met	mz547.2342
HMDB0140889	Row.1217_20066	mz_met	mz547.2342
HMDB0030636	Row.1217_20066	mz_met	mz547.2342
HMDB0030731	Row.1217_20066	mz_met	mz547.2342
HMDB0031925	Row.1217_20066	mz_met	mz547.2342
HMDB0032641	Row.1217_20066	mz_met	mz547.2342
HMDB0034723	Row.1217_20066	mz_met	mz547.2342
HMDB0038548	Row.1217_20066	mz_met	mz547.2342
HMDB0135363	Row.1217_20066	mz_met	mz547.2342
HMDB0059634	Row.520_373	mz_met	mz126.9045
HMDB0014988	Row.133_10826	mz_met	mz462.1637
HMDB0030186	Row.133_10826	mz_met	mz462.1637
HMDB0029565	Row.133_10826	mz_met	mz462.1637
HMDB0000791	Row.306_27095	mz_met	mz268.1928
HMDB0032255	Row.306_27095	mz_met	mz268.1928
HMDB0030951	Row.306_27095	mz_met	mz268.1928
HMDB0036031	Row.306_27095	mz_met	mz268.1928
HMDB0040058	Row.380_39962	mz_met	mz244.0623
HMDB0040376	Row.1129_33646	mz_met	mz243.2336
HMDB0059907	Row.1129_33646	mz_met	mz243.2336
HMDB0061924	Row.1129_33646	mz_met	mz243.2336
HMDB0062598	Row.1129_33646	mz_met	mz243.2336
HMDB0062732	Row.1129_33646	mz_met	mz243.2336
HMDB0030306	Row.1129_33646	mz_met	mz243.2336
HMDB0030307	Row.1129_33646	mz_met	mz243.2336
HMDB0030309	Row.1129_33646	mz_met	mz243.2336
HMDB0030313	Row.1129_33646	mz_met	mz243.2336
HMDB0030314	Row.1129_33646	mz_met	mz243.2336
HMDB0030315	Row.1129_33646	mz_met	mz243.2336
HMDB0030316	Row.1129_33646	mz_met	mz243.2336
HMDB0031287	Row.1129_33646	mz_met	mz243.2336
HMDB0034284	Row.1129_33646	mz_met	mz243.2336
HMDB0037828	Row.1129_33646	mz_met	mz243.2336
HMDB0008191	Row.280_13885	mz_met	mz431.8196
HMDB0008224	Row.280_13885	mz_met	mz431.8196
HMDB0008256	Row.280_13885	mz_met	mz431.8196
HMDB0008285	Row.280_13885	mz_met	mz431.8196
HMDB0008350	Row.280_13885	mz_met	mz431.8196
HMDB0008382	Row.280_13885	mz_met	mz431.8196
HMDB0008414	Row.280_13885	mz_met	mz431.8196
HMDB0008446	Row.280_13885	mz_met	mz431.8196
HMDB0008479	Row.280_13885	mz_met	mz431.8196
HMDB0008542	Row.280_13885	mz_met	mz431.8196
HMDB0008543	Row.280_13885	mz_met	mz431.8196
HMDB0008572	Row.280_13885	mz_met	mz431.8196
HMDB0008573	Row.280_13885	mz_met	mz431.8196
HMDB0008604	Row.280_13885	mz_met	mz431.8196
HMDB0008635	Row.280_13885	mz_met	mz431.8196
HMDB0008766	Row.280_13885	mz_met	mz431.8196
HMDB0008797	Row.280_13885	mz_met	mz431.8196
HMDB0008798	Row.280_13885	mz_met	mz431.8196
HMDB0113393	Row.280_13885	mz_met	mz431.8196
HMDB0113421	Row.280_13885	mz_met	mz431.8196
HMDB0113448	Row.280_13885	mz_met	mz431.8196
HMDB0113477	Row.280_13885	mz_met	mz431.8196
HMDB0113531	Row.280_13885	mz_met	mz431.8196
HMDB0113585	Row.280_13885	mz_met	mz431.8196
HMDB0113612	Row.280_13885	mz_met	mz431.8196
HMDB0113718	Row.280_13885	mz_met	mz431.8196
HMDB0113719	Row.280_13885	mz_met	mz431.8196
HMDB0113743	Row.280_13885	mz_met	mz431.8196
HMDB0113744	Row.280_13885	mz_met	mz431.8196
HMDB0128848	Row.1443_1719	mz_met	mz125.0239
HMDB0129278	Row.1443_1719	mz_met	mz125.0239
HMDB0129294	Row.1443_1719	mz_met	mz125.0239
HMDB0129295	Row.1443_1719	mz_met	mz125.0239
HMDB0130276	Row.1443_1719	mz_met	mz125.0239
HMDB0130280	Row.1443_1719	mz_met	mz125.0239
HMDB0130283	Row.1443_1719	mz_met	mz125.0239
HMDB0130284	Row.1443_1719	mz_met	mz125.0239
HMDB0041195	Row.1443_1719	mz_met	mz125.0239
HMDB0061748	Row.1443_1719	mz_met	mz125.0239
HMDB0128660	Row.1443_1719	mz_met	mz125.0239
HMDB0128661	Row.1443_1719	mz_met	mz125.0239
HMDB0128664	Row.1443_1719	mz_met	mz125.0239
HMDB0137274	Row.1443_1719	mz_met	mz125.0239
HMDB0000393	Row.1443_1719	mz_met	mz125.0239
HMDB0000522	Row.1443_1719	mz_met	mz125.0239
HMDB0002266	Row.1443_1719	mz_met	mz125.0239
HMDB0013311	Row.1443_1719	mz_met	mz125.0239
HMDB0029171	Row.1443_1719	mz_met	mz125.0239
HMDB0031257	Row.1443_1719	mz_met	mz125.0239
HMDB0036232	Row.1443_1719	mz_met	mz125.0239
HMDB0040207	Row.1443_1719	mz_met	mz125.0239
HMDB0013674	Row.1443_1719	mz_met	mz125.0239
HMDB0013675	Row.1443_1719	mz_met	mz125.0239
HMDB0029750	Row.1443_1719	mz_met	mz125.0239
HMDB0030776	Row.1443_1719	mz_met	mz125.0239
HMDB0031256	Row.1443_1719	mz_met	mz125.0239
HMDB0032651	Row.1443_1719	mz_met	mz125.0239
HMDB0034355	Row.1443_1719	mz_met	mz125.0239
HMDB0059735	Row.1443_1719	mz_met	mz125.0239
HMDB0124831	Row.1443_1719	mz_met	mz125.0239
HMDB0042019	Row.1305_26120	mz_met	mz875.3584
HMDB0240234	Row.1305_26120	mz_met	mz875.3584
HMDB0014385	Row.1305_26120	mz_met	mz875.3584
HMDB0014844	Row.1305_26120	mz_met	mz875.3584
HMDB0015096	Row.244_27133	mz_met	mz281.1437
HMDB0015602	Row.244_27133	mz_met	mz281.1437
HMDB0015640	Row.244_27133	mz_met	mz281.1437
HMDB0038928	Row.932_14095	mz_met	mz439.1367
HMDB0039068	Row.932_14095	mz_met	mz439.1367
HMDB0135640	Row.932_14095	mz_met	mz439.1367
HMDB0240242	Row.932_14095	mz_met	mz439.1367
HMDB0031763	Row.932_14095	mz_met	mz439.1367
HMDB0040729	Row.932_14095	mz_met	mz439.1367
HMDB0060833	Row.932_14095	mz_met	mz439.1367
HMDB0031534	Row.932_14095	mz_met	mz439.1367
HMDB0033710	Row.932_14095	mz_met	mz439.1367
HMDB0034720	Row.932_14095	mz_met	mz439.1367
HMDB0036409	Row.932_14095	mz_met	mz439.1367
HMDB0040762	Row.932_14095	mz_met	mz439.1367
HMDB0124824	Row.932_14095	mz_met	mz439.1367
HMDB0124930	Row.932_14095	mz_met	mz439.1367
HMDB0129005	Row.932_14095	mz_met	mz439.1367
HMDB0129013	Row.932_14095	mz_met	mz439.1367
HMDB0131861	Row.932_14095	mz_met	mz439.1367
HMDB0133501	Row.932_14095	mz_met	mz439.1367
